program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,/education-inequity-and-homework/,11453,-1739,13283,-2006,1,1,8.73134E-05,8.73134E-05
MED,Direct,/education-inequity-and-homework/,3349,-765,3503,-828,0,0,0,0
null,Direct,"c23e2abe9b026b1c89d4db_3524dcd141f9011478d243e2d93ac301""'`--)()\""&%1'-;%00",1704,,1633,,0,,0,
MSAAI,Organic Search,/artificial-intelligence-education/,1589,47,1669,67,1,0,0.000629327,-1.91818E-05
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,1123,307,1197,280,47,-16,0.041852182,-0.035353701
MED,Organic Search,/life-skills-education-in-schools/,984,85,1087,82,2,2,0.00203252,0.00203252
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,864,259,1156,381,61,24,0.070601852,0.009444827
MSAAI,Organic Search,/artificial-intelligence-business/,843,180,827,159,0,-1,0,-0.001508296
BSN,Paid Search,/bachelors-nursing/bachelors-nursing-lp-ppc/,818,,930,,36,,0.04400978,
BSN,Paid Social,/bachelors-nursing/bachelors-nursing-lp-ppc/,668,,722,,39,,0.058383234,
MESH,Organic Search,/high-paying-environmental-jobs/,636,146,709,175,0,-2,0,-0.004081633
MSAAI,Direct,/artificial-intelligence-education/,607,-124,602,-133,0,-2,0,-0.002735978
Informatics,Paid Social,/masters-health-informatics/lp/health-informatics-for-nurses/,599,257,709,320,31,11,0.051752922,-0.006726611
MSLDT,Paid Social,/masters-learning-design-technology/lp/instructional-design-for-teachers/,573,91,649,99,39,9,0.068062827,0.005822163
Informatics,Paid Search,/masters-health-informatics/lp/health-informatics-for-nurses/,546,363,786,562,42,28,0.076923077,0.000420345
MED,Organic Search,/complete-list-teaching-methods/,531,50,575,20,8,2,0.015065913,0.002591901
MSITL,Display,/masters-information-technology-leadership/lp/dyna/,530,516,534,520,1,1,0.001886792,0.001886792
(default) (not set),Direct,/,511,-17,628,3,4,3,0.007827789,0.005933849
CyberOps,Paid Search,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,497,27,608,30,39,6,0.078470825,0.008258059
MTS,Paid Search,/masters-theological-studies/lp/ppc/,480,28,617,38,31,10,0.064583333,0.018123156
MED,Organic Search,/best-masters-degrees-for-teachers/,470,60,532,73,1,-1,0.00212766,-0.002750389
MED,Organic Search,/best-paying-school-districts-ca-teachers/,469,71,492,71,0,0,0,0
MSNNL,Paid Social,/masters-nursing-leadership/lp/ppc/,459,121,546,115,20,5,0.043572985,-0.000805713
MSNP,Paid Search,/masters-nonprofit-leadership-management/lp/ppc/,439,160,554,199,29,12,0.066059226,0.005127326
MSAAI,Organic Search,/ai-impact-on-job-market/,424,-45,432,-86,0,0,0,0
MSNP,Paid Social,/masters-nonprofit-leadership-management/lp/ppc/,413,-75,515,-37,53,11,0.128329298,0.042263724
MSNNL,Paid Search,/masters-nursing-leadership/lp/ppc/,405,25,625,30,16,-1,0.039506173,-0.005230669
CyberOps,Organic Search,/top-cyber-security-threats/,404,88,1441,1107,0,0,0,0
CyberOps,Paid Social,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,400,-8,473,10,37,7,0.0925,0.018970588
CyberEng,Paid Search,/masters-cyber-security-engineering/lp/cyber-security-engineering/,386,169,448,184,25,11,0.064766839,0.00025071
EML,Paid Search,/masters-engineering-management-leadership/lp/ppc/,384,193,555,304,25,5,0.065104167,-0.039607875
MSAAI,Organic Search,/ai-blogs/,380,7,367,-10,2,2,0.005263158,0.005263158
CyberEng,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-engineering/,375,-47,413,-54,37,13,0.098666667,0.041794629
Informatics,Organic Search,/8-technologies-changing-healthcare/,360,116,362,106,1,1,0.002777778,0.002777778
CyberOps,Organic Search,/top-100-cybersecurity-companies/,357,-54,358,-44,1,1,0.00280112,0.00280112
CyberOps,Direct,/top-cyber-security-threats/,349,140,338,123,0,0,0,0
MSITL,Paid Search,/masters-information-technology-leadership/lp/ppc/,337,77,513,157,23,6,0.068249258,0.002864643
Informatics,Paid Search,/masters-health-informatics/lp/study-health-informatics/,332,62,445,85,28,14,0.084337349,0.032485498
MSHA,Organic Search,/humanitarian-careers/,324,-6,346,-6,2,0,0.00617284,0.000112233
LEPSL,Paid Social,/masters-law-enforcement-leadership/lp/law-enforcement/,324,43,342,43,9,-4,0.027777778,-0.018485567
(default) (not set),Paid Search,/,319,58,444,67,2,1,0.006269592,0.002438175
MSHA,Paid Social,/masters-humanitarian-action/lp/humanitarian-action/,318,48,362,49,25,-1,0.078616352,-0.017679944
MTS,Organic Search,/what-is-liturgy/,311,-5,333,-1,0,0,0,0
MSLDT,Paid Search,/masters-learning-design-technology/lp/study-learning-design-technology/,310,18,427,45,24,5,0.077419355,0.012350862
