program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Organic Search,/education-inequity-and-homework/,11928,-18209,13811,-22796,0,-7,0,-0.00023227262169426286
MSAAI,Organic Search,/artificial-intelligence-education/,3794,-12311,3864,-13142,3,-24,0.0007907221929362151,-0.0008857757890569548
MED,Direct,/education-inequity-and-homework/,3355,247,3527,-33,0,-1,0,-0.00032175032175032174
MSAAI,Direct,/artificial-intelligence-education/,1227,-1478,1268,-1630,1,-2,0.0008149959250203749,-0.0002940613762735252
CyberOps,Paid Social,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,1158,949,1258,1002,72,52,0.06217616580310881,-0.03351761410119741
MSAAI,Organic Search,/artificial-intelligence-business/,1065,-680,1093,-754,1,0,0.0009389671361502347,0.0003659012335714382
CyberEng,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-engineering/,1027,481,1095,473,43,8,0.04186952288218111,-0.022233041220382985
MSAAI,Paid Social,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,1012,-522,1181,-619,51,-19,0.05039525691699605,0.004762923149069058
Informatics,Paid Social,/masters-health-informatics/lp/health-informatics-for-nurses/,982,-504,1056,-639,45,-57,0.045824847250509164,-0.022815798779100525
MSNP,Paid Social,/masters-nonprofit-leadership-management/lp/ppc/,915,-530,1014,-556,52,19,0.05683060109289618,0.03399323085068165
MSAAI,Organic Search,/ai-impact-on-job-market/,896,-1948,973,-2156,0,-2,0,-0.0007032348804500703
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,888,177,950,223,20,18,0.02252252252252252,0.01970958300072224
Informatics,Paid Social,/masters-health-informatics/lp/study-health-informatics/,822,691,925,774,74,71,0.09002433090024331,0.06712356754146469
MED,Organic Search,/best-masters-degrees-for-teachers/,750,-1689,861,-1926,1,-8,0.0013333333333333333,-0.00235670356703567
MED,Organic Search,/life-skills-education-in-schools/,735,,790,,0,,0,
EML,Paid Social,/masters-engineering-management-leadership/lp/ppc/,629,-491,677,-552,21,-21,0.033386327503974564,-0.004113672496025435
MSAAI,Organic Search,/artificial-intelligence-jobs/,614,-5511,634,-5955,2,-7,0.003257328990228013,0.0017879412351259724
MSAAI,Paid Search,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,606,-594,774,-1252,41,-57,0.06765676567656766,-0.014009900990099008
LEPSL,Paid Social,/masters-law-enforcement-leadership/lp/law-enforcement/,581,577,619,615,30,30,0.05163511187607573,0.05163511187607573
MTS,Paid Search,/masters-theological-studies/lp/ppc/,578,-854,734,-1163,28,-61,0.04844290657439446,-0.01370793141443235
MTS,Paid Social,/masters-theological-studies/lp/ppc/,514,-394,573,-446,37,4,0.07198443579766536,0.035640823462863604
MED,Organic Search,/complete-list-teaching-methods/,510,-2806,563,-3423,10,-74,0.0196078431372549,-0.005723881832588283
CyberOps,Organic Search,/top-cyber-security-threats/,507,-2792,509,-2943,0,-2,0,-0.0006062443164595332
MSNNL,Paid Search,/masters-nursing-leadership/lp/ppc/,504,,763,,16,,0.031746031746031744,
CyberOps,Organic Search,/top-100-cybersecurity-companies/,497,-840,486,-796,0,0,0,0
Default - (not set),Direct,/,496,490,671,658,2,2,0.004032258064516129,0.004032258064516129
CyberOps,Paid Search,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,481,-585,572,-775,24,-33,0.0498960498960499,-0.0035748694285279645
MTS,Organic Search,/serving-god/,478,-2582,504,-2785,0,-5,0,-0.0016339869281045752
Informatics,Organic Search,/8-technologies-changing-healthcare/,473,-1574,499,-1646,0,-2,0,-0.0009770395701025891
MTS,Organic Search,/what-is-liturgy/,467,132,505,150,2,2,0.004282655246252677,0.004282655246252677
MESH,Organic Search,/high-paying-environmental-jobs/,449,,478,,0,,0,
MED,Organic Search,/best-paying-school-districts-ca-teachers/,447,212,479,231,0,0,0,0
Default - (not set),Organic Search,/how-to-become-an-entrepreneur/,438,,447,,0,,0,
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,416,-1170,583,-1356,18,-52,0.04326923076923077,-0.0008669609079445181
MSAAI,Direct,/ai-impact-on-job-market/,413,39,400,-123,0,0,0,0
LEPSL,Display,/masters-law-enforcement-leadership/lp/request-info/,402,-1856,409,-1922,1,-3,0.0024875621890547263,0.0007160830039351514
Data Science,Paid Social,/masters-applied-data-science/lp/study-data-science/,398,97,428,31,2,-18,0.005025125628140704,-0.06142005709611179
MSHA,Organic Search,/how-to-become-diplomat/,374,-47,404,-36,2,2,0.0053475935828877,0.0053475935828877
MED,Paid Social,/masters-education/lp/online-med/,362,-599,396,-625,10,-9,0.027624309392265192,0.007853237592057076
MSHA,Organic Search,/humanitarian-careers/,361,-1355,380,-1494,2,-5,0.00554016620498615,0.0014609121257320706
MSAAI,Organic Search,/application-of-ai-in-robotics/,358,-434,366,-507,0,-1,0,-0.0012626262626262627
