program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,/education-inequity-and-homework/,11928,3835,13811,4708,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-education/,3794,335,3864,343,3,-3,0.0007907221929362151,-0.0009438831843404544
MED,Direct,/education-inequity-and-homework/,3355,1173,3527,1233,0,-1,0,-0.00045829514207149406
MSAAI,Direct,/artificial-intelligence-education/,1227,-200,1268,-213,1,0,0.0008149959250203749,0.0001142250770876489
CyberOps,Paid Social,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,1158,1069,1258,1166,72,72,0.06217616580310881,0.06217616580310881
MSAAI,Organic Search,/artificial-intelligence-business/,1065,-185,1093,-158,1,1,0.0009389671361502347,0.0009389671361502347
CyberEng,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-engineering/,1027,973,1095,1038,43,41,0.04186952288218111,0.004832485845144077
MSAAI,Paid Social,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,1012,755,1181,848,51,29,0.05039525691699605,-0.03520785592347088
Informatics,Paid Social,/masters-health-informatics/lp/health-informatics-for-nurses/,982,977,1056,1051,45,45,0.045824847250509164,0.045824847250509164
MSNP,Paid Social,/masters-nonprofit-leadership-management/lp/ppc/,915,787,1014,885,52,50,0.05683060109289618,0.04120560109289618
MSAAI,Organic Search,/ai-impact-on-job-market/,896,-480,973,-412,0,0,0,0
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,888,578,950,632,20,20,0.02252252252252252,0.02252252252252252
Informatics,Paid Social,/masters-health-informatics/lp/study-health-informatics/,822,670,925,768,74,72,0.09002433090024331,0.0768664361634012
MED,Organic Search,/best-masters-degrees-for-teachers/,750,152,861,182,1,0,0.0013333333333333333,-0.00033890746934225197
MED,Organic Search,/life-skills-education-in-schools/,735,280,790,307,0,0,0,0
EML,Paid Social,/masters-engineering-management-leadership/lp/ppc/,629,593,677,636,21,20,0.033386327503974564,0.005608549726196788
MSAAI,Organic Search,/artificial-intelligence-jobs/,614,-190,634,-206,2,2,0.003257328990228013,0.003257328990228013
MSAAI,Paid Search,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,606,497,774,593,41,30,0.06765676567656766,-0.0332606655160929
LEPSL,Paid Social,/masters-law-enforcement-leadership/lp/law-enforcement/,581,382,619,414,30,22,0.05163511187607573,0.011434106850950101
MTS,Paid Search,/masters-theological-studies/lp/ppc/,578,300,734,388,28,13,0.04844290657439446,-0.005513927957979635
MTS,Paid Social,/masters-theological-studies/lp/ppc/,514,268,573,285,37,10,0.07198443579766536,-0.037771661763310246
MED,Organic Search,/complete-list-teaching-methods/,510,89,563,114,10,4,0.0196078431372549,0.0053560616645708155
CyberOps,Organic Search,/top-cyber-security-threats/,507,78,509,85,0,0,0,0
MSNNL,Paid Search,/masters-nursing-leadership/lp/ppc/,504,231,763,301,16,1,0.031746031746031744,-0.0231990231990232
CyberOps,Organic Search,/top-100-cybersecurity-companies/,497,213,486,198,0,0,0,0
Default - (not set),Direct,/,496,155,671,248,2,1,0.004032258064516129,0.001099706744868035
CyberOps,Paid Search,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,481,254,572,292,24,4,0.0498960498960499,-0.0382096769761968
MTS,Organic Search,/serving-god/,478,151,504,159,0,0,0,0
Informatics,Organic Search,/8-technologies-changing-healthcare/,473,111,499,109,0,0,0,0
MTS,Organic Search,/what-is-liturgy/,467,166,505,189,2,2,0.004282655246252677,0.004282655246252677
MESH,Organic Search,/high-paying-environmental-jobs/,449,140,478,133,0,0,0,0
MED,Organic Search,/best-paying-school-districts-ca-teachers/,447,-18,479,-1,0,0,0,0
Default - (not set),Organic Search,/how-to-become-an-entrepreneur/,438,19,447,39,0,0,0,0
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,416,218,583,342,18,18,0.04326923076923077,0.04326923076923077
MSAAI,Direct,/ai-impact-on-job-market/,413,-55,400,-61,0,0,0,0
LEPSL,Display,/masters-law-enforcement-leadership/lp/request-info/,402,383,409,391,1,1,0.0024875621890547263,0.0024875621890547263
Data Science,Paid Social,/masters-applied-data-science/lp/study-data-science/,398,341,428,370,2,2,0.005025125628140704,0.005025125628140704
MSHA,Organic Search,/how-to-become-diplomat/,374,-33,404,-42,2,2,0.0053475935828877,0.0053475935828877
MED,Paid Social,/masters-education/lp/online-med/,362,319,396,353,10,10,0.027624309392265192,0.027624309392265192
MSHA,Organic Search,/humanitarian-careers/,361,36,380,29,2,-3,0.00554016620498615,-0.009844449179629237
MSAAI,Organic Search,/application-of-ai-in-robotics/,358,29,366,36,0,0,0,0
CyberEng,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-degrees/,345,,353,,0,,0,
Informatics,Paid Search,/masters-health-informatics/lp/study-health-informatics/,344,165,438,224,18,6,0.05232558139534884,-0.014713524749902555
Default - (not set),Organic Search,/,332,56,500,90,0,0,0,0
