program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Paid Social,365,322,399,356,10,10,0.0273972602739726,
LEPSL,Email,330,-87,432,-63,0,-15,0,-1
MSHA,Paid Social,317,-77,380,-100,31,-11,0.09779179810725552,-0.08261979870812676
EML,Paid Search,317,183,418,238,13,2,0.04100946372239748,-0.5004301691998853
MED,Paid Search,308,173,438,198,18,6,0.05844155844155844,-0.3425324675324676
MSNNL,Paid Social,290,260,449,413,52,48,0.1793103448275862,0.3448275862068966
MSNP,Paid Search,271,90,441,168,14,3,0.05166051660516605,-0.14994968131499492
MSNNL,Direct,268,93,427,69,11,5,0.041044776119402986,0.197139303482587
MSITL,Paid Social,265,195,343,269,24,22,0.09056603773584905,2.169811320754717
MSNNL,Display,261,243,263,221,2,-4,0.007662835249042145,-0.9770114942528735
CyberEng,Paid Search,238,78,264,72,10,4,0.04201680672268908,0.12044817927170881
LEPSL,Referral,224,79,304,116,3,3,0.013392857142857142,
CyberOps,Referral,205,161,208,163,0,0,0,
MSLDT,Referral,201,57,235,3,1,0,0.004975124378109453,-0.2835820895522388
MSITL,Paid Search,194,80,370,188,15,8,0.07731958762886598,0.25920471281296037
LEPSL,Paid Search,193,118,276,157,16,13,0.08290155440414508,1.072538860103627
MSNNL,Organic Search,179,36,301,-92,2,-1,0.0111731843575419,-0.46741154562383613
Data Science,Paid Search,175,65,213,73,1,1,0.005714285714285714,
MSHA,Paid Search,166,91,249,152,18,13,0.10843373493975904,0.6265060240963856
Default - (not set),Referral,120,28,170,16,1,1,0.008333333333333333,
MED,Organic Social,113,47,133,57,0,-3,0,-1
MSAAI,Unknown - chatgpt.com / (not set),107,,142,,2,,0.018691588785046728,
MSHA,Referral,106,36,103,-4,2,-5,0.018867924528301886,-0.8113207547169812
Data Science,Referral,104,18,118,29,1,1,0.009615384615384616,
MSNNL,Unknown - social / social,98,,98,,0,,0,
Informatics,Referral,90,73,106,88,0,0,0,
MED,Email,79,47,114,77,4,4,0.05063291139240506,
MESH,Referral,76,2,86,-16,1,0,0.013157894736842105,-0.02631578947368432
CyberOps,Display,73,,89,,18,,0.2465753424657534,
EML,Referral,72,6,96,9,2,-4,0.027777777777777776,-0.6944444444444444
MTS,Referral,71,2,128,17,8,6,0.11267605633802817,2.8873239436619715
MSAAI,Organic Social,69,30,71,25,0,0,0,
CyberEng,Referral,67,44,64,30,0,0,0,
Default - (not set),Unknown - tradedesk / dooh,66,5,66,5,0,0,0,
MSITL,Referral,64,-29,111,-37,3,3,0.046875,
"Default - business-entrepreneurship,computer-science,technology",Organic Search,63,35,58,31,0,0,0,
MSNP,Referral,62,16,106,-7,7,5,0.11290322580645161,1.596774193548387
CyberEng,Display,58,54,62,58,11,11,0.1896551724137931,
MTS,Organic Social,53,27,77,49,1,1,0.018867924528301886,
MESH,Email,53,21,74,28,8,8,0.1509433962264151,
MSAAI,Unknown - perplexity / (not set),53,,71,,0,,0,
MSAAI,Display,52,,57,,1,,0.019230769230769232,
Default - (not set),Email,45,-53,51,-65,1,1,0.022222222222222223,
MSITL,Display,44,,45,,0,,0,
CyberOps,Email,42,16,45,13,0,0,0,
Data Science,Display,39,,42,,2,,0.05128205128205128,
MSNP,Email,39,10,78,29,1,0,0.02564102564102564,-0.25641025641025644
Informatics,Email,37,-12,49,-21,1,1,0.02702702702702703,
Default - (not set),Paid Social,35,31,49,46,0,0,0,
MED,Unknown - chatgpt.com / (not set),34,,48,,1,,0.029411764705882353,
MESH,Display,31,29,33,31,0,0,0,
CyberEng,Email,31,-46,38,-42,0,0,0,
MTS,Email,30,-9,46,7,1,1,0.03333333333333333,
LEPSL,Organic Social,29,-17,35,-11,0,0,0,
CyberOps,Unknown - chatgpt.com / (not set),28,,39,,0,,0,
MSAAI,Email,26,1,49,4,1,1,0.038461538461538464,
CyberOps,Organic Social,26,6,28,7,0,0,0,
MSLDT,Email,24,4,35,-19,0,-3,0,-1
"Default - business-entrepreneurship,computer-science,technology",Direct,23,-31,23,-13,0,0,0,
MSNNL,Referral,21,6,29,-12,1,0,0.047619047619047616,-0.28571428571428575
MESH,Organic Social,21,16,24,19,0,0,0,
"Default - computer-science,engineering,technology",Organic Search,21,-1,56,-4,0,-1,0,-1
MSHA,Email,19,0,29,-2,1,1,0.05263157894736842,
LEPSL,Unknown - chatgpt.com / (not set),18,,27,,0,,0,
MSNP,Organic Social,18,6,29,12,1,0,0.05555555555555555,-0.3333333333333333
MSITL,Organic Social,17,6,19,4,0,0,0,
MSLDT,Display,16,-5,17,-10,1,-3,0.0625,-0.671875
Informatics,Unknown - Data Not Available / Data Not Available,16,1,28,10,1,-1,0.0625,-0.53125
"Default - business-entrepreneurship,computer-science,technology",Referral,14,12,11,8,0,0,0,
Data Science,Unknown - chatgpt.com / (not set),14,,17,,0,,0,
Default - computer-science,Paid Social,14,,27,,15,,1.0714285714285714,
Default - (not set),Unknown - chatgpt.com / (not set),14,,17,,0,,0,
MSNP,Unknown - chatgpt.com / (not set),13,,16,,0,,0,
Informatics,Organic Social,13,9,19,14,0,0,0,
MTS,Unknown - Data Not Available / Data Not Available,13,3,23,9,1,1,0.07692307692307693,
LEPSL,Unknown - wlle-conference / offline,13,,14,,1,,0.07692307692307693,
Default - (not set),Organic Social,12,5,27,20,2,2,0.16666666666666666,
MSNNL,Organic Social,12,8,14,4,2,2,0.16666666666666666,
Data Science,Email,11,-15,11,-20,0,0,0,
CyberOps,Unknown - perplexity / (not set),10,,11,,0,,0,
MSLDT,Unknown - Data Not Available / Data Not Available,10,,21,,2,,0.2,
"Default - computer-science,engineering,technology",Direct,10,-1,17,0,0,0,0,
EML,Organic Social,9,,9,,0,,0,
MTS,Unknown - ig / social,9,,12,,0,,0,
MSHA,Organic Social,9,-3,9,-3,0,0,0,
MSLDT,Unknown - perplexity / (not set),9,,9,,0,,0,
"Default - business-entrepreneurship,computer-science,technology",Organic Social,8,,8,,0,,0,
MSNNL,Unknown - chatgpt.com / (not set),8,,15,,0,,0,
Default - (not set),Unknown - tradedesk / ctv,8,0,8,0,0,0,0,
Default - (not set),Unknown - Data Not Available / Data Not Available,8,2,13,3,0,0,0,
MED,Unknown - copilot.com / (not set),8,7,7,6,0,0,0,
Default - business-entrepreneurship,Organic Social,8,,8,,0,,0,
MED,Unknown - perplexity / (not set),8,,12,,0,,0,
Data Science,Unknown - Data Not Available / Data Not Available,7,6,9,8,0,0,0,
MSITL,Unknown - Data Not Available / Data Not Available,7,4,12,-19,0,-1,0,-1
Default - computer-science,Paid Search,7,4,19,10,7,4,1,0
Informatics,Unknown - chatgpt.com / (not set),7,,10,,0,,0,
MSAAI,Unknown - msaai flyer / brochure,7,6,8,7,0,0,0,
MSHA,Unknown - chatgpt.com / (not set),7,,10,,0,,0,
Default - business-entrepreneurship,Organic Search,6,,5,,0,,0,
MSAAI,Unknown - Data Not Available / Data Not Available,6,3,14,11,1,1,0.16666666666666666,
Data Science,Unknown - blog / inlinecta,6,5,7,6,0,0,0,
"Default - computer-science,engineering,technology",Paid Search,6,,12,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Direct,6,1,10,-17,2,-3,0.3333333333333333,-0.6666666666666667
MSLDT,Organic Social,6,0,6,-2,0,0,0,
MSNNL,Email,6,-32,14,-37,0,-3,0,-1
EML,Email,6,-4,12,2,0,0,0,
MSLDT,Unknown - chatgpt.com / (not set),6,,7,,0,,0,
LEPSL,Unknown - policeone / directory,6,-20,6,-30,0,-3,0,-1
CyberOps,Unknown - Data Not Available / Data Not Available,5,3,5,1,0,0,0,
CyberEng,Organic Social,5,-1,5,-2,0,0,0,
MESH,Unknown - chatgpt.com / (not set),5,,8,,0,,0,
EML,Unknown - Data Not Available / Data Not Available,5,1,8,3,0,0,0,
Default - computer-science,Direct,5,1,4,0,0,0,0,
MESH,Unknown - Data Not Available / Data Not Available,5,-4,16,2,0,0,0,
MSNP,Unknown - Data Not Available / Data Not Available,5,4,7,5,1,1,0.2,
MSHA,Display,5,,12,,3,,0.6,
EML,Display,4,1,4,1,0,0,0,
EML,Unknown - perplexity / (not set),4,,4,,0,,0,
MSITL,Unknown - perplexity / (not set),4,,6,,1,,0.25,
MSNP,Unknown - perplexity / (not set),4,,6,,0,,0,
Default - computer-science,Organic Search,4,1,8,5,0,0,0,
LEPSL,Unknown - event / poker-chip,4,-3,4,-18,0,0,0,
MSNNL,Unknown - Data Not Available / Data Not Available,4,2,9,4,1,1,0.25,
MTS,Unknown - chatgpt.com / (not set),4,,5,,0,,0,
Default - business-entrepreneurship,Direct,4,,4,,0,,0,
MED,Unknown - Data Not Available / Data Not Available,4,2,7,-2,0,0,0,
MSITL,Unknown - chatgpt.com / (not set),3,,6,,0,,0,
EML,Unknown - ig / social,3,,3,,0,,0,
Default - (not set),Display,3,0,3,-1,0,0,0,
CyberEng,Unknown - Data Not Available / Data Not Available,3,1,3,0,0,0,0,
LEPSL,Unknown - fbileeda-insighter / offline,3,,5,,1,,0.3333333333333333,
"Default - computer-science,engineering,technology",Email,3,0,4,0,0,0,0,
CyberEng,Unknown - chatgpt.com / (not set),3,,3,,0,,0,
Informatics,Display,3,2,6,5,0,0,0,
MSITL,Email,3,-3,4,-5,0,0,0,
Data Science,Unknown - perplexity / (not set),3,,3,,0,,0,
CyberEng,Unknown - perplexity / (not set),3,,4,,0,,0,
MSAAI,Unknown - google / demandgen,3,,3,,0,,0,
MSHA,Unknown - Data Not Available / Data Not Available,3,2,4,2,0,0,0,
Default - engineering,Organic Search,3,,3,,0,,0,
MED,Unknown - zalo / zalo,3,,3,,0,,0,
MSHA,Unknown - ig / social,2,,2,,0,,0,
MED,Unknown - chatgpt.com / organic,2,,2,,0,,0,
EML,Unknown - chatgpt.com / (not set),2,,2,,0,,0,
LEPSL,Unknown - aocds-courier / offline,2,1,2,-1,0,-1,0,-1
Default - computer-science,Unknown - perplexity / (not set),2,,2,,0,,0,
MSHA,Unknown - perplexity / (not set),2,,2,,0,,0,
MED,Unknown - openai / (not set),2,,8,,0,,0,
"Default - engineering,healthcare,sustainability",Organic Search,2,,2,,0,,0,
"Default - engineering,healthcare,sustainability",Direct,2,-1,2,-1,0,0,0,
LEPSL,Unknown - Data Not Available / Data Not Available,2,1,7,6,0,0,0,
"Default - business-entrepreneurship,healthcare",Direct,2,,2,,0,,0,
LEPSL,Unknown - perplexity / (not set),2,,2,,0,,0,
Default - (not set),Unknown - fbileeda-insighter / offline,1,,1,,0,,0,
CyberOps,Unknown - pandora / cpc,1,,1,,0,,0,
MSHA,Unknown - linkedin / social,1,,1,,0,,0,
MED,Display,1,,1,,0,,0,
MSHA,Unknown - copilot.com / (not set),1,,1,,0,,0,
MTS,Unknown - youtube / video,1,,1,,0,,0,
MTS,Unknown - perplexity / (not set),1,,1,,0,,0,
CyberEng,Unknown - hackgd-conference-table / offline,1,,1,,1,,1,
MESH,Unknown - blog / (not set),1,,1,,0,,0,
MESH,Affiliate,1,-6,1,-11,0,0,0,
CyberOps,Unknown - copilot.com / (not set),1,,1,,0,,0,
Informatics,Unknown - {{site_source_name}} / {{placement}},1,-1,1,-1,0,0,0,
MSLDT,Unknown - copilot.com / (not set),1,,1,,0,,0,
Default - computer-science,Referral,1,,1,,0,,0,
Data Science,Unknown - msads flyer / brochure,1,,1,,0,,0,
"Default - computer-science,engineering,technology",Display,1,,1,,0,,0,
LEPSL,Unknown - cpca-magazine / offline,1,,1,,0,,0,
LEPSL,Unknown - copilot.com / (not set),1,,1,,0,,0,
Default - (not set),Unknown - perplexity / (not set),1,,1,,0,,0,
Default - humanitarian-nonprofit,Direct,1,,1,,0,,0,
Informatics,Unknown - perplexity / (not set),1,,1,,0,,0,
"Default - business-entrepreneurship,computer-science,technology",Unknown - chatgpt.com / (not set),1,,1,,0,,0,
MSNNL,Unknown - perplexity / (not set),1,,2,,0,,0,
LEPSL,Unknown - Facebook / cpc,1,,1,,0,,0,
Data Science,Organic Social,1,-1,1,-1,0,0,0,
MSAAI,Unknown - copilot.com / (not set),1,0,1,0,0,0,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Paid Social,1,,4,,1,,1,
