program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,18691,4823,21458,5769,36,4,0.0019260606709111338,-0.16529345674388732
MSAAI,Organic Search,9650,-278,10577,-51,34,9,0.003523316062176166,0.39917927461139896
MED,Direct,5968,1644,6593,1805,26,0,0.00435656836461126,-0.2754691689008042
MSAAI,Direct,3616,-533,4266,-548,30,10,0.008296460176991151,0.7211006637168144
MTS,Organic Search,3178,643,3592,642,14,8,0.004405286343612335,0.8612334801762116
CyberOps,Organic Search,2387,435,2556,454,9,6,0.003770423125261835,1.453288646837034
MSHA,Organic Search,2255,196,2392,118,9,-4,0.003991130820399113,-0.367866280061402
MESH,Organic Search,2206,552,2459,539,7,0,0.003173164097914778,-0.2502266545784225
LEPSL,Organic Search,2118,102,2499,57,10,7,0.004721435316336166,2.1728045325779037
Informatics,Paid Social,2116,1952,2310,2141,137,134,0.06474480151228733,2.5393824826717073
MSLDT,Organic Search,2074,332,2254,254,7,-13,0.0033751205400192863,-0.7060270009643201
Default - (not set),Direct,1961,60,2525,116,22,10,0.011218765935747067,0.7772395036545979
Default - (not set),Organic Search,1628,202,2077,254,6,1,0.0036855036855036856,0.05110565110565117
CyberEng,Paid Social,1378,1324,1456,1399,44,42,0.03193033381712627,-0.13788098693759074
MTS,Direct,1337,478,1879,490,15,9,0.011219147344801795,0.6062079281974571
Informatics,Organic Search,1261,-17,1534,-60,4,-5,0.0031720856463124504,-0.5495638382236321
CyberOps,Direct,1246,211,1331,185,10,-1,0.008025682182985553,-0.24485626732817756
CyberOps,Paid Social,1168,1067,1282,1178,80,80,0.0684931506849315,
Data Science,Organic Search,1162,156,1233,168,2,-2,0.0017211703958691911,-0.5671256454388984
MSAAI,Paid Social,1061,788,1244,895,52,30,0.049010367577756835,-0.3918258932396539
MSITL,Organic Search,1014,109,1178,157,1,-4,0.0009861932938856016,-0.8214990138067061
MSNP,Organic Search,993,36,1178,-440,8,2,0.008056394763343404,0.28499496475327296
EML,Organic Search,980,250,1015,207,6,1,0.006122448979591836,-0.10612244897959183
LEPSL,Direct,973,-63,1245,-106,9,4,0.009249743062692703,0.9165467625899281
Informatics,Paid Search,973,398,1291,537,39,11,0.040082219938335044,-0.17688298340919106
CyberEng,Organic Search,970,204,993,137,2,1,0.002061855670103093,0.5793814432989691
MSNP,Paid Social,931,791,1033,880,59,50,0.06337271750805586,-0.014202172096908805
MSLDT,Direct,894,39,1235,27,24,16,0.026845637583892617,1.8691275167785233
MESH,Paid Social,893,582,963,644,22,22,0.02463605823068309,
MESH,Direct,819,-7,1003,-153,9,2,0.01098901098901099,0.2967032967032968
MED,Referral,810,476,888,542,5,1,0.006172839506172839,-0.48456790123456794
Informatics,Direct,799,-31,1010,-182,14,2,0.017521902377972465,0.21193158114309543
MTS,Paid Search,722,381,960,523,50,28,0.06925207756232687,0.07340720221606659
MSHA,Direct,709,124,834,29,9,-4,0.012693935119887164,-0.42877291960507763
MSAAI,Paid Search,707,520,952,609,43,29,0.06082036775106082,-0.18761365932511614
MSAAI,Referral,699,261,871,294,10,-1,0.01430615164520744,-0.43035505267264923
MTS,Paid Social,692,419,821,452,75,22,0.10838150289017341,-0.4417330134147672
MSNNL,Paid Search,642,286,985,423,25,8,0.03894080996884735,-0.18453362653472608
CyberEng,Direct,642,119,699,72,4,1,0.006230529595015576,0.08618899273104873
EML,Paid Social,633,596,681,638,21,20,0.03317535545023697,0.2274881516587678
Data Science,Direct,595,-71,656,-90,11,8,0.018487394957983194,3.104201680672269
LEPSL,Paid Social,593,387,631,419,37,28,0.06239460370994941,0.4281431515832865
Default - (not set),Paid Search,551,276,853,438,9,5,0.016333938294010888,0.12295825771324853
CyberOps,Paid Search,519,260,625,288,26,3,0.05009633911368015,-0.4358716595459496
MSLDT,Paid Social,483,444,544,503,25,24,0.051759834368530024,1.018633540372671
MESH,Paid Search,480,231,685,344,22,20,0.04583333333333333,4.706250000000001
MSNP,Direct,467,24,834,67,13,-6,0.027837259100642397,-0.350952327285022
EML,Direct,465,100,517,81,2,-1,0.004301075268817204,-0.4767025089605734
Data Science,Paid Social,428,361,463,395,4,4,0.009345794392523364,
LEPSL,Display,403,384,411,393,1,1,0.0024813895781637717,
MSITL,Direct,392,-141,545,-229,1,-5,0.002551020408163265,-0.7733843537414966
MSLDT,Paid Search,383,244,510,318,24,10,0.06266318537859007,-0.3778440880268557
