program_category,Channel,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Organic Search,18691,-37384,21458,-46098,36,-192,0.0019260606709111338,-0.5262988942046412
MSAAI,Organic Search,9650,-33125,10577,-37194,34,-124,0.003523316062176166,-0.04614022430642093
MED,Direct,5968,-3568,6593,-5924,26,-22,0.00435656836461126,-0.13449508489722956
MSAAI,Direct,3616,-5240,4266,-7538,30,-50,0.008296460176991151,-0.0815818584070795
MTS,Organic Search,3178,-8004,3592,-9004,14,-1,0.004405286343612335,2.2839941262848753
CyberOps,Organic Search,2387,-12876,2556,-14255,9,-18,0.003770423125261835,1.1314062281804218
MSHA,Organic Search,2255,-2466,2392,-3118,9,-26,0.003991130820399113,-0.46165346848273675
MESH,Organic Search,2206,-3484,2459,-3822,7,-12,0.003173164097914778,-0.049720856992890236
LEPSL,Organic Search,2118,-4579,2499,-5327,10,-2,0.004721435316336166,1.6349543594586087
Informatics,Paid Social,2116,-730,2310,-920,137,9,0.06474480151228733,0.43956019612476355
MSLDT,Organic Search,2074,-2727,2254,-3361,7,-14,0.0033751205400192863,-0.228383156541305
Default - (not set),Direct,1961,873,2525,987,22,13,0.011218765935747067,0.35622414867697877
Default - (not set),Organic Search,1628,1104,2077,1447,6,6,0.0036855036855036856,
CyberEng,Paid Social,1378,142,1456,123,44,9,0.03193033381712627,0.1275969313705162
MTS,Direct,1337,-1114,1879,-1784,15,2,0.011219147344801795,1.1152407801622461
Informatics,Organic Search,1261,-4811,1534,-5601,4,-15,0.0031720856463124504,0.013731791811010523
CyberOps,Direct,1246,-3010,1331,-4151,10,-21,0.008025682182985553,0.1018484958318231
CyberOps,Paid Social,1168,658,1282,660,80,53,0.0684931506849315,0.29375951293759506
Data Science,Organic Search,1162,-4021,1233,-4428,2,-28,0.0017211703958691911,-0.7026391279403328
MSAAI,Paid Social,1061,-507,1244,-633,52,-20,0.049010367577756835,0.06733689391559324
MSITL,Organic Search,1014,-1947,1178,-2085,1,-6,0.0009861932938856016,-0.5828402366863905
MSNP,Organic Search,993,184,1178,-188,8,-5,0.008056394763343404,-0.49864435665039897
EML,Organic Search,980,-1593,1015,-1684,6,2,0.006122448979591836,2.938265306122449
LEPSL,Direct,973,-960,1245,-1490,9,6,0.009249743062692703,4.959917780061665
Informatics,Paid Search,973,-1034,1291,-1645,39,-68,0.040082219938335044,-0.2481774260164632
CyberEng,Organic Search,970,-2797,993,-3131,2,-13,0.002061855670103093,-0.4821993127147767
MSNP,Paid Social,931,-524,1033,-561,59,24,0.06337271750805586,1.6344943992634648
MSLDT,Direct,894,-296,1235,-986,24,1,0.026845637583892617,0.3889699445579223
MESH,Paid Social,893,173,963,204,22,18,0.02463605823068309,3.434490481522956
MESH,Direct,819,-939,1003,-1519,9,-14,0.01098901098901099,-0.16005733397037733
MED,Referral,810,-1362,888,-1916,5,-2,0.006172839506172839,0.9153439153439152
Informatics,Direct,799,-876,1010,-1381,14,-23,0.017521902377972465,-0.20677874369989516
MTS,Paid Search,722,-969,960,-1480,50,-42,0.06925207756232687,0.27288329519450816
MSHA,Direct,709,-285,834,-668,9,-32,0.012693935119887164,-0.6922494753861501
MSAAI,Paid Search,707,-856,952,-2169,43,-80,0.06082036775106082,-0.22713630248042235
MSAAI,Referral,699,-299,871,-524,10,-15,0.01430615164520744,-0.42889842632331904
MTS,Paid Social,692,-237,821,-243,75,34,0.10838150289017341,1.4557662484139289
MSNNL,Paid Search,642,,985,,25,,0.03894080996884735,
CyberEng,Direct,642,-789,699,-1424,4,-24,0.006230529595015576,-0.6815754339118825
EML,Paid Social,633,-489,681,-550,21,-21,0.03317535545023697,-0.11374407582938374
