program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,17703,-988,20069,-1389,17,-19,0.0009602892165169745,-0.5014231737244786
MSAAI,Organic Search,6923,-2727,7685,-2892,35,1,0.005055611729019211,0.4349015642657466
MED,Direct,6404,436,7000,407,24,-2,0.0037476577139287947,-0.1397684139720367
MSAAI,Direct,3174,-442,3751,-515,33,3,0.010396975425330813,0.2531821045998739
MTS,Organic Search,2584,-594,2936,-656,12,-2,0.0046439628482972135,0.05417956656346736
CyberOps,Organic Search,2005,-382,2116,-440,2,-7,0.000997506234413965,-0.7354391798282072
Default - (not set),Direct,1968,7,2450,-75,15,-7,0.007621951219512195,-0.32060698447893565
MSHA,Organic Search,1943,-312,2113,-279,8,-1,0.004117344312918168,0.0316234917367188
LEPSL,Organic Search,1913,-205,2320,-179,8,-2,0.004181913225300575,-0.11427077888133821
MSLDT,Organic Search,1778,-296,2117,-137,9,2,0.005061867266591676,0.4997589587015909
MESH,Organic Search,1591,-615,1776,-683,4,-3,0.00251414204902577,-0.20768609140702163
Informatics,Paid Social,1400,-716,1498,-812,75,-62,0.05357142857142857,-0.1725755995828988
Default - (not set),Organic Search,1317,-311,1680,-397,10,4,0.007593014426727411,1.0602379144520373
CyberEng,Paid Social,1224,-154,1290,-166,41,-3,0.03349673202614379,0.049056743909685126
MTS,Direct,1210,-127,1492,-387,13,-2,0.010743801652892562,-0.04236914600550966
CyberOps,Direct,1025,-221,1088,-243,8,-2,0.007804878048780488,-0.027512195121951133
Informatics,Organic Search,1021,-240,1286,-248,14,10,0.013712047012732615,3.322722820763957
MSAAI,Paid Social,1006,-55,1217,-27,67,15,0.06660039761431412,0.3589042667074477
Informatics,Direct,943,144,1236,226,27,13,0.02863202545068929,0.6340705953643389
MSNP,Organic Search,911,-82,1170,-8,7,-1,0.007683863885839737,-0.046240395170142695
MSLDT,Direct,902,8,1164,-71,10,-14,0.011086474501108648,-0.5870288248337028
