program_category,Channel,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Organic Search,17703,-50618,20069,-60081,17,-223,0.0009602892165169745,-0.7266336684930991
MSAAI,Organic Search,6923,-35469,7685,-38598,35,-100,0.005055611729019211,0.5875369808635733
MED,Direct,6404,-4890,7000,-7801,24,-46,0.0037476577139287947,-0.39534219684125993
MSAAI,Direct,3174,-6449,3751,-8369,33,-19,0.010396975425330813,0.9240402791915079
MTS,Organic Search,2584,-7118,2936,-8036,12,-15,0.0046439628482972135,0.6687306501547987
CyberOps,Organic Search,2005,-13160,2116,-14458,2,-33,0.000997506234413965,-0.567794798717492
Default - (not set),Direct,1968,799,2450,681,15,-1,0.007621951219512195,-0.44312118902439024
MSHA,Organic Search,1943,-2154,2113,-2553,8,-16,0.004117344312918168,-0.29713501458226105
LEPSL,Organic Search,1913,-5794,2320,-6490,8,-7,0.004181913225300575,1.1486670151594354
MSLDT,Organic Search,1778,-2085,2117,-2541,9,-33,0.005061867266591676,-0.5344287321227704
MESH,Organic Search,1591,-2971,1776,-3259,4,-5,0.00251414204902577,0.2743906697395069
Informatics,Paid Social,1400,-560,1498,-666,75,46,0.05357142857142857,2.6206896551724133
Default - (not set),Organic Search,1317,581,1680,709,10,5,0.007593014426727411,0.11769172361427489
CyberEng,Paid Social,1224,-238,1290,-356,41,-8,0.03349673202614379,-0.0005668934240362984
MTS,Direct,1210,-1153,1492,-2246,13,-2,0.010743801652892562,0.6925068870523415
CyberOps,Direct,1025,-3361,1088,-4303,8,-3,0.007804878048780488,2.112017738359202
Informatics,Organic Search,1021,-4558,1286,-5203,14,-7,0.013712047012732615,2.6428338230492985
MSAAI,Paid Social,1006,-287,1217,-297,67,22,0.06660039761431412,0.9136514247846258
Informatics,Direct,943,-693,1236,-1197,27,2,0.02863202545068929,0.8736797454931072
MSNP,Organic Search,911,120,1170,-15,7,3,0.007683863885839737,0.5194840834248078
MSLDT,Direct,902,-184,1164,-839,10,-9,0.011086474501108648,-0.3663204574629478
MED,Referral,871,-941,944,-1284,2,-12,0.002296211251435132,-0.7028046580285386
LEPSL,Direct,860,-1198,1096,-1789,11,0,0.012790697674418604,1.3930232558139535
Data Science,Organic Search,855,-3583,894,-3904,0,-13,0,-1
Informatics,Paid Search,811,-1060,1041,-1627,47,-54,0.05795314426633785,0.07356765269621898
CyberOps,Paid Social,807,398,898,412,50,44,0.061957868649318466,3.223461379595209
CyberEng,Organic Search,780,-2605,827,-2995,3,-10,0.0038461538461538464,0.0014792899408284815
