program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MSAAI,Direct,/artificial-intelligence-business/,248,-315,236,-348,0,-1,0,-0.0017761989342806395
MSLDT,Organic Search,/kirkpatrick-training-evaluation-model/,243,-239,238,-180,0,0,0,0
MED,Organic Search,/brain-based-learning/,242,-977,230,-1032,0,-6,0,-0.004922067268252666
Default - (not set),Direct,/employer-partnership/axos/,236,,284,,0,,0,
MSAAI,Direct,/masters-applied-artificial-intelligence/,234,-173,415,-283,6,-5,0.02564102564102564,-0.0013860013860013884
Default - (not set),Organic Search,/,224,,363,,1,,0.004464285714285714,
MED,Direct,/life-skills-education-in-schools/,223,219,211,208,0,0,0,0
LEPSL,Organic Search,/10-innovative-police-technologies/,223,-876,232,-873,0,0,0,0
MSHA,Organic Search,/how-to-become-diplomat/,222,-231,250,-224,0,0,0,0
MSAAI,Referral,/artificial-intelligence-education/,217,-395,282,-405,0,-1,0,-0.0016339869281045752
MSAAI,Organic Search,/application-of-ai-in-robotics/,215,-577,227,-609,0,-1,0,-0.0012626262626262627
MSAAI,Organic Search,/ai-ethicist-career/,212,-649,229,-738,0,-11,0,-0.012775842044134728
Informatics,Direct,/masters-health-informatics/,211,-143,380,-297,4,-5,0.018957345971563982,-0.006466382841995341
MSHA,Organic Search,/human-rights-violation-definition/,211,,218,,0,,0,
MSAAI,Paid Social,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,211,85,228,79,6,-2,0.02843601895734597,-0.035056044534717515
MTS,Organic Search,/catholic-charism-comparison/,207,-405,212,-431,0,-2,0,-0.0032679738562091504
MSLDT,Paid Social,/masters-learning-design-technology/lp/study-learning-design-technology/,204,118,204,108,4,1,0.0196078431372549,-0.015275877792977656
MED,Paid Search,/masters-education/lp/online-med/,199,-447,294,-625,15,-24,0.07537688442211055,0.015005367394246766
MSITL,Organic Search,/information-technology-trends/,199,-50,205,-62,0,-1,0,-0.004016064257028112
MED,Organic Search,/cooperative-learning-strategies/,193,-1067,201,-1143,1,0,0.0051813471502590676,0.004387696356608274
CyberEng,Organic Search,/cyber-security-statistics/,190,-246,189,-208,0,0,0,0
MED,Organic Search,/teaching-to-every-students-unique-learning-style/,189,-497,216,-783,1,-3,0.005291005291005291,-0.0005398984990821728
MSLDT,Direct,/addie-model-instructional-design/,189,145,187,142,0,0,0,0
MSAAI,Organic Search,/masters-applied-artificial-intelligence/,188,-444,304,-942,3,-19,0.015957446808510637,-0.018852679773767842
EML,Organic Search,/future-engineering-trends/,187,,197,,0,,0,
Data Science,Display,/masters-applied-data-science/apply/,186,,186,,0,,0,
LEPSL,Direct,/10-innovative-police-technologies/,181,-49,171,-116,0,0,0,0
MTS,Organic Search,/theology-careers/,175,-178,181,-207,0,-3,0,-0.0084985835694051
MSHA,Organic Search,/humanitarian-intervention-success-stories/,172,-398,177,-360,0,-1,0,-0.0017543859649122807
MSLDT,Organic Search,/instructional-design-models/,172,-349,161,-329,0,-2,0,-0.003838771593090211
Informatics,Organic Search,/health-information-technology-jobs-salary/,171,-621,182,-646,1,1,0.005847953216374269,0.005847953216374269
Informatics,Organic Search,/masters-health-informatics/,170,-69,323,-159,5,-3,0.029411764705882353,-0.004061038641397979
MSLDT,Organic Search,/job-aid-examples-template/,169,-152,180,-139,1,0,0.005917159763313609,0.0028018949658058213
LEPSL,Direct,/masters-law-enforcement-leadership/,169,-70,253,-217,7,4,0.04142011834319527,0.028867817087965146
MTS,Paid Social,/masters-theological-studies/lp/ppc/,166,98,170,99,3,2,0.018072289156626505,0.003366406803685329
MED,Organic Search,/effective-educational-leadership/,166,-1215,223,-1706,2,-4,0.012048192771084338,0.00770351500135226
MSAAI,Organic Search,/ai-trainer/,163,-200,188,-234,2,-9,0.012269938650306749,-0.018033091652723557
LEPSL,Organic Search,/police-communication-important-today/,161,-507,165,-568,0,0,0,0
MSAAI,Organic Search,/entry-level-ai-careers/,160,-399,172,-449,0,0,0,0
MED,Organic Search,/careers-masters-curriculum-instruction/,156,88,154,89,0,0,0,0
