program_category,Channel,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MSNP,Unknown - chatgpt.com / (not set),9,,10,,0,,0,
MESH,Display,8,,9,,0,,0,
MSLDT,Display,8,-20,27,-12,5,2,0.625,4.833333333333334
MSAAI,Unknown - Data Not Available / Data Not Available,8,-2,11,-22,1,0,0.125,0.24999999999999994
MSNNL,Organic Social,7,6,16,15,1,1,0.14285714285714285,
Data Science,Unknown - chatgpt.com / (not set),7,,8,,0,,0,
Default - (not set),Unknown - Data Not Available / Data Not Available,7,,19,,1,,0.14285714285714285,
Default - engineering,Direct,7,,6,,0,,0,
MSHA,Organic Social,7,-7,7,-7,0,0,0,
Informatics,Unknown - chatgpt.com / (not set),7,,13,,0,,0,
"Default - business-entrepreneurship,computer-science,technology",Referral,7,,9,,0,,0,
MTS,Unknown - chatgpt.com / (not set),6,,11,,1,,0.16666666666666666,
MED,Unknown - Data Not Available / Data Not Available,6,-7,8,-56,0,-1,0,-1
MSITL,Organic Social,6,-7,11,-5,0,0,0,
MTS,Unknown - Data Not Available / Data Not Available,6,-24,14,-39,0,-2,0,-1
CyberEng,Unknown - chatgpt.com / (not set),6,,6,,0,,0,
MSNNL,Unknown - chatgpt.com / (not set),5,,5,,0,,0,
MSLDT,Unknown - perplexity / (not set),5,,7,,0,,0,
MSHA,Unknown - flyer / offline,5,,7,,0,,0,
MSHA,Display,5,,13,,2,,0.4,
EML,Display,5,-10,5,-12,0,0,0,
LEPSL,Unknown - chatgpt.com / (not set),5,,6,,0,,0,
CyberEng,Organic Social,5,4,5,4,0,0,0,
"Default - leadership-management,police-leadership",Direct,5,,9,,0,,0,
MESH,Unknown - chatgpt.com / (not set),4,3,4,-1,0,0,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Direct,4,,10,,3,,0.75,
MSLDT,Unknown - Data Not Available / Data Not Available,4,-17,15,-32,0,-4,0,-1
MSNNL,Unknown - tableposter / offline,4,2,4,-1,0,-1,0,-1
"Default - engineering,healthcare,sustainability",Direct,4,-3,4,-17,0,0,0,
MSITL,Email,4,-15,3,-38,0,-1,0,-1
EML,Unknown - Data Not Available / Data Not Available,4,-4,11,-14,1,1,0.25,
EML,Unknown - chatgpt.com / (not set),4,,4,,1,,0.25,
CyberEng,Unknown - Data Not Available / Data Not Available,4,-10,7,-33,0,-3,0,-1
Data Science,Unknown - Data Not Available / Data Not Available,4,-7,5,-19,0,0,0,
LEPSL,Unknown - policeone / directory,4,-17,6,-26,0,-1,0,-1
MESH,Unknown - perplexity / (not set),3,,3,,0,,0,
