program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
CyberOps,Referral,109,27,126,13,0,0,0,
"Default - business-entrepreneurship,computer-science,technology",Display,104,102,104,102,0,0,0,
Default - business-entrepreneurship,Organic Search,90,34,95,37,0,0,0,
MESH,Referral,85,51,128,78,2,2,0.023529411764705882,
Informatics,Email,84,24,157,7,0,-3,0,-1
Informatics,Referral,77,42,105,66,2,2,0.025974025974025976,
MTS,Email,77,-356,108,-523,2,-28,0.025974025974025976,-0.6251082251082251
BSN,Direct,70,,85,,1,,0.014285714285714285,
MED,Organic Social,62,-6,65,-14,0,0,0,
MSNP,Referral,60,-3,158,71,8,5,0.13333333333333333,1.8
CyberEng,Referral,56,27,60,27,2,2,0.03571428571428571,
MSHA,Referral,55,7,61,5,1,-2,0.01818181818181818,-0.7090909090909091
MTS,Referral,54,-21,109,16,2,-1,0.037037037037037035,-0.07407407407407414
Default - (not set),Unknown - tradedesk / dooh,51,38,51,38,0,0,0,
Data Science,Paid Social,48,-315,49,-338,0,-2,0,-1
MED,Email,45,3,119,57,0,-3,0,-1
Data Science,Referral,45,-27,54,-24,0,0,0,
MSITL,Referral,45,19,212,72,7,7,0.15555555555555556,
MSAAI,Organic Social,39,-46,48,-65,0,-1,0,-1
MSLDT,Organic Social,39,-84,47,-84,0,0,0,
CyberEng,Email,39,-34,54,-38,2,2,0.05128205128205128,
MSAAI,Email,37,-103,84,-125,1,0,0.02702702702702703,2.783783783783784
EML,Referral,36,-29,60,-72,1,-2,0.027777777777777776,-0.3981481481481482
MED,Paid Social,36,3,40,5,4,2,0.1111111111111111,0.8333333333333331
Informatics,Organic Social,35,21,34,10,0,0,0,
MSAAI,Unknown - chatgpt.com / (not set),34,,47,,1,,0.029411764705882353,
MED,Unknown - chatgpt.com / (not set),33,,44,,0,,0,
CyberOps,Organic Social,32,9,34,10,0,0,0,
MESH,Email,32,-37,68,-11,1,0,0.03125,1.1562499999999998
EML,Paid Social,31,-212,32,-240,2,-11,0.06451612903225806,0.20595533498759303
BSN,Organic Search,30,,27,,0,,0,
MSNNL,Referral,30,14,58,43,1,1,0.03333333333333333,
MSNP,Email,29,19,38,26,1,1,0.034482758620689655,
MSHA,Email,27,-1,36,7,1,-1,0.037037037037037035,-0.48148148148148145
Default - business-entrepreneurship,Direct,24,-1,23,-5,0,0,0,
MSAAI,Unknown - perplexity / (not set),24,,36,,1,,0.041666666666666664,
MESH,Organic Social,23,17,28,22,4,4,0.17391304347826086,
MSLDT,Email,22,-8,47,2,0,-3,0,-1
"Default - business-entrepreneurship,computer-science,technology",Organic Search,21,-51,19,-55,0,0,0,
Informatics,Unknown - Data Not Available / Data Not Available,20,2,36,-7,0,-1,0,-1
MTS,Display,20,-42,20,-62,0,-2,0,-1
MSNNL,Email,19,5,35,11,0,-2,0,-1
MTS,Organic Social,18,-24,24,-18,2,2,0.1111111111111111,
CyberOps,Email,18,-7,18,-12,0,0,0,
EML,Email,16,6,29,13,0,0,0,
LEPSL,Organic Social,16,-5,17,-13,0,0,0,
MSNNL,Unknown - Data Not Available / Data Not Available,15,5,62,46,1,1,0.06666666666666667,
CyberOps,Unknown - chatgpt.com / (not set),15,,18,,1,,0.06666666666666667,
Default - engineering,Organic Search,15,1,18,7,0,0,0,
MSLDT,Unknown - chatgpt.com / (not set),14,,22,,1,,0.07142857142857142,
"Default - computer-science,engineering,technology",Direct,14,-8,51,16,2,1,0.14285714285714285,2.142857142857143
MSHA,Unknown - ihsa / social,14,-85,12,-157,0,-8,0,-1
MSAAI,Display,14,-69,16,-81,0,-3,0,-1
"Default - computer-science,engineering,technology",Organic Search,13,-10,20,-38,0,-1,0,-1
Data Science,Email,13,-18,11,-14,0,0,0,
Default - (not set),Unknown - chatgpt.com / (not set),13,,14,,0,,0,
CyberEng,Display,13,-112,16,-119,3,2,0.23076923076923078,27.846153846153847
"Default - business-entrepreneurship,computer-science,technology",Direct,13,-9,17,-4,0,0,0,
Default - (not set),Organic Social,12,-15,19,-15,0,0,0,
CyberOps,Unknown - Data Not Available / Data Not Available,12,5,20,10,1,1,0.08333333333333333,
MED,Unknown - perplexity / (not set),12,,15,,0,,0,
CyberOps,Display,11,-134,16,-146,2,-4,0.18181818181818182,3.393939393939394
LEPSL,Unknown - fbileeda-insighter / offline,11,,19,,3,,0.2727272727272727,
MSNNL,Display,11,-91,16,-94,1,0,0.09090909090909091,8.272727272727273
