program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
Data Science,Organic Search,/masters-applied-data-science/apply/,13,-30,14,-43,0,-2,0,-0.046511627906976744
EML,Organic Search,/engineering-leadership/,12,-33,15,-30,0,0,0,0
EML,Referral,/masters-engineering-management-leadership/,12,8,19,14,2,2,0.16666666666666666,0.16666666666666666
Data Science,Organic Search,/data-science-vs-statistics-masters/,12,,14,,1,,0.08333333333333333,
Data Science,Direct,/sports-analytics-careers/,11,-6,12,-9,1,1,0.09090909090909091,0.09090909090909091
EML,Direct,/engineering-masters-degrees/,11,,11,,0,,0,
Data Science,Organic Search,/financial-analyst-career/,11,1,12,2,0,0,0,0
EML,Organic Search,/how-to-become-vp-engineering/,10,-1,8,-4,0,0,0,0
Data Science,Direct,/resources/msads-request-program-brochure/,10,8,11,8,0,0,0,0
EML,Organic Search,/masters-in-engineering-management-vs-mba/,10,-20,12,-21,0,0,0,0
Data Science,Organic Search,/database-administrator-career/,10,-3,9,-4,0,-1,0,-0.07692307692307693
Data Science,Organic Search,/data-consultant-career/,10,-5,10,-5,0,0,0,0
Data Science,Organic Search,/business-intelligence-developer/,10,0,7,-2,0,0,0,0
Data Science,Organic Search,/data-architect-career/,9,-13,9,-17,0,0,0,0
Data Science,Direct,/applications-of-data-science-in-healthcare/,9,1,8,-1,0,0,0,0
Data Science,Organic Search,/supervised-machine-learning-with-gradient-boosting/,9,-14,9,-17,0,0,0,0
EML,Paid Search,/masters-engineering-management-leadership/,9,-13,19,-18,0,0,0,0
Data Science,Direct,/data-science-careers/,9,6,10,7,0,0,0,0
EML,Direct,/lead-engineer-career/,9,,9,,0,,0,
Data Science,Organic Search,/etl-developer-career/,9,,10,,0,,0,
Data Science,Organic Search,/faculty/mohammad-yavarimanesh/,8,0,8,-4,0,0,0,0
EML,Organic Search,/engineering-management-vs-technical-track/,8,-21,10,-21,0,0,0,0
Data Science,Direct,/business-intelligence-engineer-career/,8,-3,8,-3,0,0,0,0
EML,Unknown - Data Not Available / Data Not Available,/masters-engineering-management-leadership/lp/ppc/,8,,8,,1,,0.125,
Data Science,Direct,/what-is-data-analytics/,8,4,13,9,0,0,0,0
Data Science,Direct,/ata-specialist-career/,8,7,8,7,0,0,0,0
EML,Direct,/masters-engineering-management-leadership/apply/,7,-33,7,-48,0,-1,0,-0.025
Data Science,Organic Search,/data-science-in-finance/,7,-81,8,-102,0,0,0,0
Data Science,Organic Search,/data-science-careers/,7,-12,7,-11,0,0,0,0
Data Science,Direct,/data-scientist-salary-guide/,7,5,7,5,0,0,0,0
Data Science,Referral,/masters-applied-data-science/classes/,7,3,5,2,0,0,0,0
EML,Paid Search,/masters-engineering-management-leadership/curriculum/,7,4,6,4,0,0,0,0
Data Science,Direct,/how-to-become-a-computer-scientist-salary-career-guide/,7,-10,7,-11,0,0,0,0
EML,Organic Search,/effective-engineering-manager/,7,-7,8,-9,0,0,0,0
EML,Organic Search,/,7,5,46,42,0,0,0,0
EML,Paid Search,/masters-engineering-management-leadership/apply/,7,3,9,9,0,0,0,0
