program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
Data Science,Organic Search,/data-science-vs-statistics-masters/,12,5,14,7,1,1,0.08333333333333333,0.08333333333333333
EML,Referral,/masters-engineering-management-leadership/,12,4,19,8,2,2,0.16666666666666666,0.16666666666666666
EML,Organic Search,/engineering-leadership/,12,-2,15,3,0,0,0,0
Data Science,Organic Search,/financial-analyst-career/,11,5,12,4,0,0,0,0
Data Science,Direct,/sports-analytics-careers/,11,3,12,5,1,1,0.09090909090909091,0.09090909090909091
EML,Direct,/engineering-masters-degrees/,11,8,11,8,0,0,0,0
Data Science,Organic Search,/business-intelligence-developer/,10,-5,7,-7,0,0,0,0
Data Science,Organic Search,/data-consultant-career/,10,4,10,4,0,0,0,0
EML,Organic Search,/masters-in-engineering-management-vs-mba/,10,-2,12,-5,0,0,0,0
Data Science,Direct,/resources/msads-request-program-brochure/,10,-10,11,-34,0,-3,0,-0.15
EML,Organic Search,/how-to-become-vp-engineering/,10,0,8,-4,0,0,0,0
Data Science,Organic Search,/database-administrator-career/,10,5,9,4,0,0,0,0
Data Science,Direct,/data-science-careers/,9,7,10,8,0,0,0,0
Data Science,Organic Search,/etl-developer-career/,9,8,10,9,0,0,0,0
EML,Paid Search,/masters-engineering-management-leadership/,9,-7,19,-4,0,0,0,0
Data Science,Organic Search,/data-architect-career/,9,6,9,6,0,0,0,0
EML,Direct,/lead-engineer-career/,9,-9,9,-9,0,0,0,0
Data Science,Direct,/applications-of-data-science-in-healthcare/,9,-421,8,-412,0,0,0,0
Data Science,Organic Search,/supervised-machine-learning-with-gradient-boosting/,9,-1,9,-3,0,0,0,0
Data Science,Direct,/ata-specialist-career/,8,,8,,0,,0,
EML,Unknown - Data Not Available / Data Not Available,/masters-engineering-management-leadership/lp/ppc/,8,2,8,-17,1,0,0.125,-0.04166666666666666
Data Science,Organic Search,/faculty/mohammad-yavarimanesh/,8,2,8,1,0,0,0,0
Data Science,Direct,/what-is-data-analytics/,8,-1,13,4,0,0,0,0
Data Science,Direct,/business-intelligence-engineer-career/,8,4,8,4,0,0,0,0
EML,Organic Search,/engineering-management-vs-technical-track/,8,-14,10,-16,0,0,0,0
EML,Direct,/principal-engineer-vs-senior-engineer/,7,,8,,0,,0,
Data Science,Organic Search,/data-science-careers/,7,3,7,3,0,0,0,0
EML,Paid Search,/masters-engineering-management-leadership/apply/,7,6,9,8,0,0,0,0
Data Science,Organic Search,/data-science-in-finance/,7,1,8,3,0,0,0,0
EML,Paid Search,/masters-engineering-management-leadership/curriculum/,7,5,6,3,0,0,0,0
EML,Organic Search,/effective-engineering-manager/,7,1,8,2,0,0,0,0
Data Science,Referral,/masters-applied-data-science/classes/,7,1,5,-6,0,0,0,0
EML,Organic Search,/,7,4,46,31,0,0,0,0
Data Science,Direct,/how-to-become-a-computer-scientist-salary-career-guide/,7,6,7,6,0,0,0,0
Data Science,Direct,/data-scientist-salary-guide/,7,1,7,0,0,0,0,0
EML,Direct,/masters-engineering-management-leadership/apply/,7,3,7,3,0,0,0,0
EML,Organic Search,/how-to-become-an-engineering-manager/,6,2,4,0,0,0,0,0
EML,Direct,/engineering-management-vs-technical-track/,6,2,6,1,0,0,0,0
EML,Direct,/manage-engineering-team/,6,-2,5,-1,0,0,0,0
EML,AI Traffic,/engineering-management-leadership-certifications/,6,3,6,4,0,0,0,0
EML,Organic Search,/engineering-masters-scholarships/,6,-8,6,-11,0,-1,0,-0.07142857142857142
Data Science,Direct,/13-essential-data-science-textbooks/,6,4,2,0,0,0,0,0
Data Science,Organic Search,/masters-applied-data-science/classes/,6,0,6,3,0,0,0,0
EML,Direct,/,6,4,27,19,0,0,0,0
Data Science,Direct,/resources/planning-your-future-a-career-in-data-science/,6,5,6,5,0,0,0,0
Data Science,Direct,/financial-analyst-career/,6,,7,,0,,0,
Data Science,Organic Search,/how-to-become-a-software-engineer/,6,2,8,4,0,0,0,0
Data Science,Organic Search,/how-to-become-database-developer/,6,-1,5,-2,0,0,0,0
Data Science,Organic Search,/data-warehouse-engineer/,6,1,6,1,0,0,0,0
EML,AI Traffic,/future-engineering-trends/,6,,7,,0,,0,
Data Science,Direct,/what-is-data-science/,6,-6,6,-5,0,0,0,0
EML,Direct,/engineering-manager-vs-tech-lead/,6,-9,5,-11,0,0,0,0
Data Science,Direct,/masters-applied-data-science/lp/study-data-science/,6,-9,7,-8,1,0,0.16666666666666666,0.09999999999999999
Data Science,Direct,/masters-applied-data-science/lp/let-us-pay-for-your-msads-program-application-fee/,6,-1,10,3,2,-1,0.3333333333333333,-0.09523809523809523
Data Science,Organic Search,/masters-applied-data-science/lp/let-us-pay-for-your-msads-program-application-fee/,5,1,5,-1,2,1,0.4,0.15000000000000002
EML,Direct,/engineering-career-path/,5,3,5,3,0,0,0,0
EML,AI Traffic,/engineering-manager-vs-tech-lead/,5,4,3,2,0,0,0,0
EML,Email,/masters-engineering-management-leadership/,5,-2,7,-2,0,0,0,0
Data Science,Direct,/how-to-become-data-analytics-manager/,5,,5,,0,,0,
Data Science,Organic Search,/storytelling-with-data-part-1/,5,1,5,-4,0,0,0,0
Data Science,Direct,/data-consultant-career/,5,-16,6,-36,0,0,0,0
Data Science,Direct,/how-to-become-a-software-engineer/,5,2,5,2,0,0,0,0
EML,Organic Search,/engineering-career-path/,5,-1,6,1,0,0,0,0
Data Science,Direct,/career-data-mining/,5,0,5,0,0,0,0,0
EML,Organic Search,.translate.goog/senior-engineer-vs-tech-lead-vs-lead-engineer/,5,-2,5,-2,0,0,0,0
Data Science,AI Traffic,/masters-applied-data-science/apply/,5,3,5,1,0,0,0,0
Data Science,Direct,/data-science-in-finance/,5,0,6,1,0,0,0,0
EML,Referral,/future-engineering-trends/,5,,4,,0,,0,
Data Science,Direct,/data-science-vs-statistics/,4,,2,,0,,0,
Data Science,Direct,/data-warehouse-engineer/,4,2,12,10,0,0,0,0
EML,Direct,/engineering-leadership-skills/,4,2,5,4,0,0,0,0
Data Science,Direct,/data-science-masters-degrees-comparison/,4,,4,,0,,0,
Data Science,Referral,/quantitative-analyst-career/,4,3,6,5,0,0,0,0
Data Science,Paid Search,/resources/data-science-self-assessment/,4,3,9,9,0,0,0,0
Data Science,AI Traffic,/masters-applied-data-science/,4,-1,7,-2,0,0,0,0
Data Science,Direct,/python-for-data-science/,4,1,4,1,0,0,0,0
EML,Organic Search,.translate.goog/engineering-manager-skills/,4,,4,,0,,0,
Data Science,AI Traffic,/masters-applied-data-science/classes/,4,3,4,3,0,0,0,0
Data Science,Organic Search,/masters-applied-data-science/lp/study-data-science/,4,-19,4,-19,0,0,0,0
EML,Organic Search,/advisory-board/nik-devereaux/,4,3,4,1,0,0,0,0
EML,Organic Search,.translate.goog/lead-engineer-career/,4,2,5,3,0,0,0,0
Data Science,Organic Search,/aws-certification-careers/,4,2,3,1,0,0,0,0
EML,Referral,/masters-engineering-management-leadership/apply/,4,-5,6,-14,0,-4,0,-0.4444444444444444
Data Science,Direct,/masters-applied-data-science/careers/,4,1,4,-2,0,0,0,0
EML,Organic Search,/head-of-product-career/,4,2,4,2,0,0,0,0
EML,Organic Search,/engineering-management-masters-worth-it/,4,3,4,3,0,0,0,0
EML,Referral,/masters-engineering-management-leadership/curriculum/,3,2,1,0,0,0,0,0
EML,Direct,/how-to-become-an-engineering-manager/,3,1,3,-2,0,0,0,0
Data Science,AI Traffic,/data-science-bootcamps/,3,,3,,0,,0,
Data Science,AI Traffic,/data-communication/,3,1,3,1,0,0,0,0
Data Science,Paid Search,/masters-applied-data-science/lp/let-us-pay-for-your-msads-program-application-fee/,3,-2,3,-4,1,0,0.3333333333333333,0.1333333333333333
Data Science,Direct,/coding-salary/,3,0,3,0,0,0,0,0
Data Science,Direct,/data-science-bootcamps/,3,0,3,0,0,0,0,0
EML,Direct,/faculty/mandeep-kaur/,3,,3,,0,,0,
Data Science,Direct,/data-science-scholarships/,3,,3,,0,,0,
Data Science,Direct,/faculty/bilgenur-baloglu/,3,-1,3,0,0,0,0,0
EML,Referral,/,3,,14,,0,,0,
EML,Display,/masters-engineering-management-leadership/,3,,4,,0,,0,
Data Science,Direct,/machine-learning-vs-statistics/,3,,4,,0,,0,
Data Science,Organic Search,/applications-of-data-science-in-healthcare/,3,,4,,0,,0,
Data Science,Paid Social,/masters-applied-data-science/classes/,3,0,4,1,0,0,0,0
EML,Direct,/how-to-become-vp-engineering/,3,2,3,2,0,0,0,0
EML,Organic Search,/faculty/gb-singh/,3,1,3,1,0,0,0,0
EML,Email,/masters-engineering-management-leadership/faculty/,3,,3,,0,,0,
Data Science,Direct,/data-architect-career/,3,2,3,2,0,0,0,0
Data Science,Direct,/data-science-vs-statistics-masters/,3,0,3,-4,0,0,0,0
Data Science,Direct,/data-science/,3,-1,5,1,0,0,0,0
Data Science,Organic Search,/data-science-bootcamps/,3,-3,2,-4,0,0,0,0
EML,Paid Search,/,3,-1,11,-12,0,0,0,0
Data Science,Direct,/advisory-board/ebrahim-k-tarshizi/,3,2,3,2,0,0,0,0
EML,Unknown - Data Not Available / Data Not Available,/masters-engineering-management-leadership/apply/,3,,4,,0,,0,
EML,Direct,/engineering-leadership/,3,-21,3,-20,0,0,0,0
Data Science,Direct,/business-analyst-vs-data-analyst-vs-data-scientist/,3,-3,2,-8,0,0,0,0
Data Science,Direct,/resources/look-inside-data-science-masters/,3,2,3,2,0,0,0,0
Data Science,Direct,/supervised-machine-learning-with-gradient-boosting/,3,2,3,2,0,0,0,0
Data Science,Direct,/resources/questions-to-ask-masters-data-science-checklist/,2,-3,2,-2,0,0,0,0
Data Science,Direct,/data-science-certifications/,2,-1,3,0,0,0,0,0
Data Science,Direct,/faculty/mohammad-yavarimanesh/,2,1,3,2,0,0,0,0
Data Science,Organic Search,/data-engineer-career/,2,0,2,0,0,0,0,0
Data Science,Organic Search,/how-to-become-data-analytics-manager/,2,-1,2,-1,0,0,0,0
EML,Paid Search,/online-programs/,2,,2,,0,,0,
EML,Direct,/masters-engineering-management-leadership/board-of-advisors/,2,,2,,0,,0,
EML,Referral,/senior-engineer-vs-tech-lead-vs-lead-engineer/,2,1,2,1,0,0,0,0
Data Science,Direct,/data-science-vs-cybersecurity/,2,0,2,0,0,0,0,0
EML,Direct,/masters-in-engineering-management-vs-mba/,2,1,2,1,0,0,0,0
Data Science,Organic Search,/data-science/,2,-3,2,-5,0,0,0,0
Data Science,Direct,/are-coding-bootcamps-worth-it/,2,1,2,1,0,0,0,0
Data Science,Direct,/masters-applied-data-science/faculty/,2,,1,,0,,0,
Data Science,Direct,.translate.goog/advisory-board/ebrahim-k-tarshizi/,2,,7,,0,,0,
EML,Referral,/resources/mseml-program-brochure/,2,,2,,0,,0,
EML,Direct,/masters-cyber-security-engineering/,2,,11,,0,,0,
Data Science,Organic Search,/faculty/john-chandler/,2,0,2,0,0,0,0,0
Data Science,Organic Search,/data-analytics-consultant/,2,0,3,1,0,0,0,0
Data Science,Direct,/how-to-become-database-developer/,2,,2,,0,,0,
Data Science,Direct,/database-engineer-career/,2,-3,2,-3,0,0,0,0
Data Science,Organic Search,/data-science-scholarships/,2,,3,,0,,0,
Data Science,Direct,/aws-certification-careers/,2,1,2,1,0,0,0,0
Data Science,Direct,/search/Statistical+Evidencw/,2,,2,,0,,0,
Data Science,Paid Search,/masters-cyber-security-engineering/lp/cyber-security-engineering/,2,,7,,0,,0,
Data Science,Organic Search,/data-science-vs-cybersecurity/,2,-1,2,-1,0,0,0,0
Data Science,AI Traffic,/companies-hiring-data-scientists/,2,,2,,0,,0,
Data Science,Paid Social,/what-is-data-science/,2,0,2,-1,0,0,0,0
EML,Organic Search,.translate.goog/engineering-masters-degrees/,2,,2,,0,,0,
Data Science,Organic Search,/faculty/ebrahim-k-tarshizi/,2,0,2,-1,0,0,0,0
EML,Direct,/engineering-management-masters-worth-it/,2,1,2,1,0,0,0,0
EML,Direct,/head-of-product-career/,2,1,2,1,0,0,0,0
Data Science,Organic Search,/classes/data-science-with-cloud-computing/,2,,2,,0,,0,
EML,Paid Search,/masters-engineering-management-leadership/let-us-pay-for-your-eml-program-application-fee/,2,,2,,0,,0,
Data Science,Organic Search,/risk-manager-career-guide/,2,,2,,0,,0,
Data Science,AI Traffic,/business-intelligence-certifications/,2,,1,,0,,0,
EML,Direct,/effective-engineering-manager/,2,,2,,0,,0,
Data Science,Referral,/masters-applied-data-science/apply/,2,-17,2,-29,0,-1,0,-0.05263157894736842
Data Science,Email,/masters-applied-data-science/,2,,4,,0,,0,
Data Science,Direct,/masters-applied-data-science/student-services/,2,,2,,0,,0,
EML,Direct,/faculty/gb-singh/,2,,3,,0,,0,
Data Science,Direct,/graduate-success-in-applied-data-science/,2,,2,,0,,0,
EML,AI Traffic,/engineering-manager-skills/,2,,2,,0,,0,
EML,Organic Search,/masters-engineering-management-leadership/apply/,2,-3,2,-7,0,0,0,0
Data Science,Referral,/python-for-data-science/,2,,1,,0,,0,
Data Science,AI Traffic,/13-essential-data-science-textbooks/,2,-2,2,-2,0,0,0,0
Data Science,Direct,/data-analytics-consultant/,2,,2,,0,,0,
EML,Direct,/classes/tomorrows-platforms-products-and-services/,2,,2,,0,,0,
Data Science,Organic Search,/faculty/wesley-pasfield/,2,,2,,0,,0,
Data Science,Organic Search,/masters-data-analytics-worth-it/,2,0,2,0,0,0,0,0
Data Science,Organic Search,.translate.goog/best-computer-science-jobs/,2,1,2,1,0,0,0,0
EML,Organic Search,/engineering-leadership-skills/,2,0,2,-1,0,0,0,0
Data Science,Organic Search,/data-science-vs-computer-science/,2,1,2,0,0,0,0,0
Data Science,Organic Search,/faculty/sean-coyne/,2,,2,,0,,0,
Data Science,Organic Search,.translate.goog/business-intelligence-developer/,2,,2,,0,,0,
