program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
CyberEng,Paid Social,58,-195,61,-264,3,-36,0.051724138,-0.664456233
CyberOps,Paid Social,54,-134,57,-194,0,-17,0,-1
Informatics,Referral,50,5,76,9,1,-1,0.02,-0.55
EML,Referral,47,15,80,27,2,-3,0.042553191,-0.727659574
MSAAI,Email,45,-17,58,-28,1,1,0.022222222,
MSHA,Referral,43,6,68,-12,0,-1,0,-1
"Default - computer-science,engineering,technology",Organic Search,42,4,68,-96,1,1,0.023809524,
CyberEng,AI Traffic,40,9,44,3,0,0,0,
MSNP,AI Traffic,37,-8,42,-40,1,-2,0.027027027,-0.594594595
CyberEng,Referral,36,-10,39,-20,0,-1,0,-1
MSNP,Referral,36,-27,59,-97,4,-3,0.111111111,0
Informatics,AI Traffic,34,-37,44,-164,0,-3,0,-1
Informatics,Email,32,-28,42,-61,0,-1,0,-1
Data Science,AI Traffic,31,-11,34,-14,0,0,0,
MSHA,AI Traffic,30,-5,36,-5,0,0,0,
LEPSL,AI Traffic,28,-26,33,-31,0,0,0,
CyberEng,Email,28,9,49,17,0,0,0,
MSLDT,Organic Social,27,-38,36,-33,2,1,0.074074074,3.814814815
MESH,Display,27,-217,29,-242,1,-4,0.037037037,0.807407407
MSLDT,Email,26,-153,46,-243,5,-23,0.192307692,0.229395604
MESH,Email,25,-27,37,-35,0,0,0,
MSNNL,Paid Social,24,-106,42,-172,1,-13,0.041666667,-0.613095238
"Default - business-entrepreneurship,computer-science,technology",Organic Search,24,5,23,-9,0,0,0,
Informatics,Unknown - Data Not Available / Data Not Available,24,-6,50,-15,2,0,0.083333333,0.25
MSHA,Organic Social,23,7,24,4,0,0,0,
MTS,Organic Social,23,-6,23,-12,0,0,0,
"Default - computer-science,engineering,technology",Direct,23,0,32,4,0,-1,0,-1
MESH,AI Traffic,23,-15,38,-5,0,-1,0,-1
Default - computer-science,Paid Search,22,0,41,-1,22,2,1,0.1
EML,AI Traffic,22,7,22,11,0,0,0,
CyberOps,Organic Social,21,7,23,9,0,-1,0,-1
MSHA,Email,21,3,23,-28,0,0,0,
MTS,AI Traffic,20,-4,23,-21,0,-1,0,-1
Default - computer-science,Paid Social,19,7,36,2,22,9,1.157894737,0.068825911
MSITL,Organic Social,19,8,16,5,0,0,0,
MSNNL,Email,19,-79,33,-69,1,1,0.052631579,
LEPSL,Organic Social,18,-14,18,-47,0,0,0,
EML,Email,18,4,26,11,0,0,0,
MSITL,AI Traffic,18,-6,21,-14,0,0,0,
Default - (not set),Organic Social,17,4,23,4,0,0,0,
