program_category,Channel,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Email,71,69,102,83,3,3,0.042253521,
MED,Organic Social,70,-149,82,-206,0,-2,0,-1
CyberEng,Referral,70,17,77,-3,0,0,0,
MSAAI,Organic Social,67,-17,74,-44,0,0,0,
MSHA,Referral,65,21,94,23,0,-2,0,-1
EML,Referral,64,35,97,58,2,1,0.03125,-0.09375
MSAAI,Unknown - perplexity / (not set),59,,72,,0,,0,
CyberEng,Paid Social,58,-65,61,-84,3,1,0.051724138,2.1810344827586206
MSNP,Referral,57,-5,84,-152,5,3,0.087719298,1.719298245614035
CyberOps,Paid Social,54,-33,57,-48,0,0,0,
MSAAI,Email,45,,58,,1,,0.022222222222222223,
"Default - computer-science,engineering,technology",Organic Search,42,,68,,1,,0.023809523809523808,
Informatics,Email,32,26,42,36,0,0,0,
CyberEng,Email,28,27,49,45,0,0,0,
MESH,Display,27,26,29,18,1,1,0.037037037037037035,
MSLDT,Organic Social,27,-7,36,-13,2,2,0.074074074,
MSLDT,Email,26,1,46,-6,5,5,0.19230769230769232,
MESH,Email,25,24,37,36,0,0,0,
"Default - business-entrepreneurship,computer-science,technology",Organic Search,24,,23,,0,,0,
MSNNL,Paid Social,24,,42,,1,,0.041666666666666664,
Informatics,Unknown - Data Not Available / Data Not Available,24,,50,,2,,0.083333333,
"Default - computer-science,engineering,technology",Direct,23,22,32,28,0,0,0,
MTS,Organic Social,23,-16,23,-24,0,0,0,
MSHA,Organic Social,23,-16,24,-15,0,0,0,
Default - computer-science,Paid Search,22,,41,,22,,1,
CyberOps,Organic Social,21,-4,23,-12,0,0,0,
MSHA,Email,21,13,23,12,0,0,0,
CyberOps,Unknown - chatgpt.com / (not set),20,,22,,1,,0.05,
MSITL,Organic Social,19,-18,16,-34,0,0,0,
MSNNL,Email,19,,33,,1,,0.052631579,
Default - computer-science,Paid Social,19,,36,,22,,1.1578947368421053,
CyberOps,Unknown - perplexity / (not set),19,,24,,0,,0,
LEPSL,Organic Social,18,-18,18,-25,0,0,0,
EML,Email,18,17,26,24,0,0,0,
Default - (not set),Unknown - chatgpt.com / (not set),18,,22,,0,,0,
Default - (not set),Organic Social,17,15,23,22,0,-1,0,-1
CyberOps,Email,17,,18,,0,,0,
MSNNL,Referral,17,,50,,2,,0.11764705882352941,
LEPSL,Display,17,-36,17,-37,0,0,0,
MSNP,Email,17,-7,34,-12,2,1,0.11764705882352941,1.823529411764706
MSLDT,Unknown - chatgpt.com / (not set),17,,14,,0,,0,
MTS,Unknown - Data Not Available / Data Not Available,16,,28,,1,,0.0625,
MSNP,Unknown - chatgpt.com / (not set),15,,16,,0,,0,
MESH,Unknown - Data Not Available / Data Not Available,14,,23,,0,,0,
CyberOps,Unknown - Data Not Available / Data Not Available,13,,20,,1,,0.076923077,
EML,Unknown - Data Not Available / Data Not Available,13,,17,,0,,0,
LEPSL,Unknown - policeone / directory,13,2,20,-1,1,-1,0.076923077,-0.576923077
MED,Unknown - perplexity / (not set),12,,21,,0,,0,
"Default - business-entrepreneurship,computer-science,technology",Referral,12,,13,,0,,0,
MSHA,Display,12,,16,,2,,0.16666666666666666,
MESH,Organic Social,12,-3,13,-2,0,0,0,
"Default - business-entrepreneurship,computer-science,technology",Direct,11,,18,,0,,0,
MESH,Unknown - chatgpt.com / (not set),11,,20,,0,,0,
MSNP,Unknown - Data Not Available / Data Not Available,10,,16,,0,,0,
Default - (not set),Display,9,-745,13,-763,2,-5,0.2222222222222222,22.936507936507937
Default - (not set),Unknown - Data Not Available / Data Not Available,9,,23,,1,,0.1111111111111111,
Informatics,Organic Social,9,-47,14,-77,0,-2,0,-1
MSLDT,Unknown - Data Not Available / Data Not Available,9,,15,,0,,0,
MESH,Affiliate,8,-27,10,-36,1,-4,0.125,-0.125
MSLDT,Unknown - youtube / social,8,,10,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Direct,8,7,20,18,3,3,0.375,
MTS,Display,8,-207,15,-206,0,0,0,
Data Science,Unknown - chatgpt.com / (not set),7,,8,,0,,0,
MSNP,Display,7,,19,,0,,0,
MSITL,Email,7,-48,10,-52,1,1,0.14285714285714285,
Data Science,Email,7,-119,9,-151,0,-1,0,-1
MSNNL,Unknown - Data Not Available / Data Not Available,7,,20,,1,,0.14285714285714285,
MED,Unknown - Data Not Available / Data Not Available,6,,9,,0,,0,
Informatics,Unknown - chatgpt.com / (not set),6,,7,,0,,0,
MSAAI,Unknown - Data Not Available / Data Not Available,6,,10,,0,,0,
MSNNL,Organic Social,6,,8,,0,,0,
MSNP,Organic Social,6,-9,14,-6,0,0,0,
MSAAI,Unknown - chatgpt.com / organic,6,,7,,0,,0,
CyberEng,Unknown - chatgpt.com / (not set),6,,6,,0,,0,
MTS,Unknown - chatgpt.com / (not set),6,,4,,0,,0,
MTS,Unknown - tradedesk / ctv,5,-16,5,-16,0,0,0,
LEPSL,Unknown - (not set) / (not set),5,4,6,5,0,0,0,
"Default - engineering,healthcare,sustainability",Direct,5,,7,,1,,0.2,
Data Science,Organic Social,5,-12,5,-14,0,0,0,
CyberEng,Unknown - Data Not Available / Data Not Available,5,,9,,0,,0,
MSHA,Unknown - chatgpt.com / (not set),4,,4,,0,,0,
MSHA,Unknown - perplexity / (not set),4,,6,,0,,0,
EML,Unknown - perplexity / (not set),4,,4,,0,,0,
MSLDT,Unknown - perplexity / (not set),4,,4,,0,,0,
MSITL,Unknown - chatgpt.com / (not set),3,,5,,0,,0,
