program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
EML,Display,/masters-engineering-management-leadership/lp/ppc/,262,261,284,279,9,9,0.034351145,0.034351145
LEPSL,Organic Search,/police-communication-important-today/,254,-35,279,-139,0,0,0,0
MED,Paid Social,/masters-education/lp/online-med/,253,-11,271,-23,5,0,0.019762845849802372,0.000823452
MSHA,Paid Search,/masters-humanitarian-action/lp/humanitarian-action/,252,-24,314,-92,19,-14,0.075396825,-0.044168392
MED,Direct,/life-skills-education-in-schools/,247,100,259,103,0,0,0,0
MSITL,Organic Search,/it-job-titles/,239,42,229,24,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-finance/,238,52,249,42,1,1,0.004201681,0.004201681
MSLDT,Organic Search,/instructional-design-models/,238,0,211,-34,0,0,0,0
MED,Organic Search,/inclusive-education-strategies/,238,0,247,-26,0,0,0,0
MTS,Direct,/serving-god/,234,40,246,27,0,0,0,0
MSLDT,Organic Search,/career-changes-for-teachers/,233,-23,247,-29,2,-1,0.008583691,-0.003135059
Default - (not set),Organic Search,/,231,19,348,-3,0,0,0,0
LEPSL,Organic Search,/women-in-law-enforcement/,231,32,224,13,0,0,0,0
Informatics,Paid Search,/masters-health-informatics/lp/study-health-informatics/,228,-90,334,-175,9,-15,0.039473684210526314,-0.035998014
LEPSL,Paid Social,/masters-law-enforcement-leadership/lp/law-enforcement/,222,-144,261,-135,13,-7,0.058558559,0.00391375
LEPSL,Direct,/10-innovative-police-technologies/,210,-2,207,-9,0,0,0,0
MSHA,Organic Search,/examples-of-social-change/,209,47,207,40,0,0,0,0
MTS,Direct,/what-is-liturgy/,208,64,231,79,0,0,0,0
MED,Direct,/teacher-centered-vs-student-centered-learning/,207,-88,220,-138,1,-7,0.004830918,-0.022287726
MSLDT,Direct,/addie-model-instructional-design/,205,166,370,337,8,8,0.03902439,0.03902439
MED,Organic Search,/rethinking-education-assessment-types/,205,9,195,-3,0,0,0,0
MED,Organic Search,/what-is-educational-technology-definition-examples-impact/,197,28,220,39,0,0,0,0
Informatics,Direct,/masters-health-informatics/,196,-12,298,-91,3,0,0.015306122448979591,0.000883046
Data Science,Organic Search,/quantitative-analyst-career/,194,44,210,41,0,0,0,0
MTS,Organic Search,/catholic-charism-comparison/,185,-22,197,-33,0,0,0,0
Informatics,Direct,/8-technologies-changing-healthcare/,182,39,185,36,0,0,0,0
MED,Paid Search,/masters-education/lp/online-med/,180,-70,236,-131,13,-12,0.072222222,-0.027777778
Default - (not set),Direct,/about/state-authorization-status/,178,-4,191,-66,0,0,0,0
MED,Organic Search,/adaptive-curriculum-for-special-education/,177,98,201,126,0,0,0,0
CyberOps,Organic Search,/top-cyber-security-blogs-websites/,176,-66,171,-87,0,0,0,0
LEPSL,Organic Search,/what-is-intelligence-led-policing/,173,74,163,52,0,0,0,0
CyberOps,Direct,/top-100-cybersecurity-companies/,171,-1,191,10,0,0,0,0
LEPSL,Organic Search,/what-style-police-leadership-most-effective/,167,-15,181,-50,1,1,0.005988024,0.005988024
MESH,Direct,/ngo-careers/,166,59,174,37,0,-3,0,-0.028037383
MSLDT,Organic Search,/what-is-instructional-design-examples/,162,-38,170,-56,1,-1,0.00617284,-0.00382716
MED,Direct,/brain-based-learning/,160,-2,135,-13,0,0,0,0
MTS,Email,/masters-theological-studies/lp/dyna/,160,23,196,-12,9,3,0.05625,0.012454379562043795
MED,Direct,/effective-educational-leadership/,160,64,173,31,0,0,0,0
Data Science,Paid Search,/masters-applied-data-science/lp/study-data-science/,158,-32,168,-67,0,-2,0,-0.010526316
MSHA,Organic Search,/humanitarian-intervention-success-stories/,153,-12,147,-46,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-scholarships/,151,8,181,19,3,0,0.019867549668874173,-0.001111471
