program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,/education-inequity-and-homework/,12007,79,13745,-66,1,1,0.00008328475056217206,0.00008328475056217206
MED,Direct,/education-inequity-and-homework/,3577,222,3815,288,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-education/,2228,-1566,2281,-1583,1,-2,0.0004488330341113106,-0.00034188915882490446
MSAAI,Direct,/artificial-intelligence-education/,1009,-218,1008,-260,3,2,0.002973240832507433,0.0021582449074870583
MSAAI,Paid Social,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,962,-50,1157,-24,63,12,0.06548856548856549,0.015093308571569444
CyberEng,Paid Social,/masters-cyber-security-engineering/lp/cyber-security-engineering/,944,-83,1005,-90,41,-2,0.04343220338983051,0.0015626805076493985
MSAAI,Organic Search,/artificial-intelligence-business/,887,-178,900,-193,2,1,0.002254791431792559,0.0013158242956423244
CyberOps,Paid Social,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,798,-360,870,-388,40,-32,0.05012531328320802,-0.01205085251990079
MED,Organic Search,/life-skills-education-in-schools/,786,51,864,74,0,0,0,0
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,720,-168,852,-98,62,42,0.08611111111111111,0.0635885885885886
MSNP,Paid Social,/masters-nonprofit-leadership-management/lp/ppc/,718,-197,829,-185,62,10,0.08635097493036212,0.02952037383746594
Informatics,Paid Social,/masters-health-informatics/lp/health-informatics-for-nurses/,705,-277,756,-300,42,-3,0.059574468085106386,0.013749620834597222
EML,Paid Social,/masters-engineering-management-leadership/lp/ppc/,628,-1,711,34,35,14,0.05573248407643312,0.02234615657245856
MSHA,Paid Search,/masters-humanitarian-action/lp/humanitarian-action/,613,471,719,504,28,13,0.04567699836867863,-0.059956804448222774
CyberOps,Organic Search,/top-100-cybersecurity-companies/,534,37,526,40,0,0,0,0
CyberOps,Paid Search,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,532,51,653,81,36,12,0.06766917293233082,0.017773123036280924
Default - (not set),Direct,/,530,34,638,-33,1,-1,0.0018867924528301887,-0.0021454656116859402
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,496,80,670,87,31,13,0.0625,0.019230769230769232
MSAAI,Organic Search,/ai-impact-on-job-market/,490,-406,494,-479,0,0,0,0
MED,Paid Social,/masters-education/lp/online-med/,465,103,532,136,31,21,0.06666666666666667,0.039042357274401474
MTS,Organic Search,/what-is-liturgy/,452,-15,487,-18,1,-1,0.0022123893805309734,-0.0020702658657217035
MED,Organic Search,/complete-list-teaching-methods/,433,-77,442,-121,2,-8,0.004618937644341801,-0.0149889054929131
CyberOps,Organic Search,/top-cyber-security-threats/,425,-82,420,-89,0,0,0,0
MSAAI,Paid Search,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,403,-203,526,-248,21,-20,0.052109181141439205,-0.015547584535128452
MED,Organic Search,/best-masters-degrees-for-teachers/,403,-347,440,-421,0,-1,0,-0.0013333333333333333
MSAAI,Organic Search,/artificial-intelligence-jobs/,402,-212,430,-204,2,0,0.004975124378109453,0.0017177953878814395
EML,Display,/masters-engineering-management-leadership/lp/ppc/,393,389,417,413,7,7,0.017811704834605598,0.017811704834605598
MSAAI,Organic Search,/ai-blogs/,386,57,369,21,0,-1,0,-0.00303951367781155
Informatics,Paid Social,/masters-health-informatics/lp/study-health-informatics/,379,-443,413,-512,25,-49,0.06596306068601583,-0.02406127021422748
Informatics,Organic Search,/8-technologies-changing-healthcare/,370,-103,410,-89,0,0,0,0
