program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
Default - (not set),Organic Search,/,254,-21,372,-49,0,0,0,0
MESH,Display,/masters-engineering-sustainability-health/lp/dyna/,253,215,254,213,1,-1,0.003952569169960474,-0.048679009777407946
MSAAI,Paid Search,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,246,-157,381,-145,23,2,0.09349593495934959,0.041386753817910384
Informatics,Organic Search,/8-technologies-changing-healthcare/,244,-126,256,-154,0,0,0,0
EML,Paid Social,/masters-engineering-management-leadership/lp/ppc/,243,-385,272,-439,13,-22,0.053497942386831275,-0.0022345416896018475
MSAAI,Organic Search,/masters-applied-artificial-intelligence/,241,-40,453,2,11,-1,0.04564315352697095,0.0029385271924513776
Informatics,Paid Search,/masters-health-informatics/lp/study-healthcare-analytics/,238,43,278,58,10,0,0.04201680672268908,-0.009265244559362201
Informatics,Direct,/masters-health-informatics/,234,12,400,60,3,0,0.01282051282051282,-0.0006930006930006942
LEPSL,Organic Search,/10-innovative-police-technologies/,232,-65,222,-89,0,0,0,0
Default - (not set),Organic Search,/how-to-become-an-entrepreneur/,223,-61,244,-69,0,0,0,0
MSAAI,Organic Search,/ai-ethicist-career/,219,-25,229,-45,2,-1,0.0091324200913242,-0.003162661875888914
MED,Direct,/complete-list-teaching-methods/,215,-17,227,-10,1,-1,0.004651162790697674,-0.003969526864474739
CyberEng,Paid Search,/masters-cyber-security-engineering/lp/cyber-security-engineering/,214,-35,245,-51,12,0,0.056074766355140186,0.007881995270802834
MSAAI,Organic Search,/entry-level-ai-careers/,210,-37,239,-34,1,-1,0.004761904761904762,-0.0033352612299980718
CyberOps,Direct,/top-cyber-security-threats/,206,29,202,30,0,0,0,0
MSAAI,Direct,/ai-impact-on-job-market/,205,7,222,28,0,0,0,0
MSHA,Organic Search,/human-rights-violation-definition/,204,201,233,228,0,0,0,0
MSITL,Paid Social,/masters-information-technology-leadership/lp/ppc/,202,13,268,36,18,11,0.0891089108910891,0.05207187385405207
Default - (not set),Direct,/how-to-become-an-entrepreneur/,202,125,193,112,0,0,0,0
MED,Organic Search,/effective-educational-leadership/,200,1,260,2,3,2,0.015,0.009974874371859295
MTS,Organic Search,/theology-careers/,200,-87,218,-93,0,0,0,0
LEPSL,Direct,/masters-law-enforcement-leadership/,198,18,282,37,1,-1,0.005050505050505051,-0.006060606060606061
MSAAI,Direct,/artificial-intelligence-business/,192,-69,175,-83,0,0,0,0
CyberOps,Organic Search,/top-cyber-security-blogs-websites/,192,-16,179,-24,0,0,0,0
EML,Paid Search,/masters-engineering-management-leadership/lp/ppc/,186,-43,248,-72,17,-1,0.0913978494623656,0.012795229375029346
MSLDT,Organic Search,/instructional-design-models/,185,-18,177,-26,1,1,0.005405405405405406,0.005405405405405406
MTS,Organic Search,/catholic-charism-comparison/,184,25,195,17,0,0,0,0
Informatics,Paid Search,/masters-health-informatics/lp/health-informatics-for-nurses/,183,-8,224,15,14,7,0.07650273224043716,0.0398535175807513
MSITL,Organic Search,/it-job-titles/,181,-16,173,-28,0,0,0,0
MSHA,Direct,/humanitarian-careers/,179,128,181,129,0,0,0,0
MSHA,Organic Search,/international-aid-worker-tips/,176,-25,199,-24,2,2,0.011363636363636364,0.011363636363636364
MED,Direct,/effective-educational-leadership/,176,-15,199,-35,0,-1,0,-0.005235602094240838
MSLDT,Organic Search,/what-is-instructional-design-examples/,174,-7,200,7,2,1,0.011494252873563218,0.00596939099511018
MED,Organic Search,/teaching-to-every-students-unique-learning-style/,174,-38,207,-19,4,3,0.022988505747126436,0.018271524615050966
LEPSL,Organic Search,/police-communication-important-today/,174,8,190,-4,0,0,0,0
MED,Paid Search,/masters-education/lp/online-med/,171,-75,264,-117,29,6,0.1695906432748538,0.0760947083155042
MED,Organic Search,/cooperative-learning-strategies/,170,-25,187,-6,1,1,0.0058823529411764705,0.0058823529411764705
Default - (not set),Direct,/about/state-authorization-status/,164,33,167,28,0,0,0,0
MSHA,Organic Search,/theory-of-change/,163,-17,157,-16,0,0,0,0
MSAAI,Referral,/artificial-intelligence-education/,163,55,187,78,0,0,0,0
CyberOps,Direct,/top-100-cybersecurity-companies/,160,-18,161,-12,0,0,0,0
LEPSL,Paid Search,/masters-law-enforcement-leadership/lp/law-enforcement/,158,37,187,16,13,3,0.08227848101265822,-0.0003661470865153338
MSAAI,Organic Search,/ai-trainer/,157,8,168,6,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-finance/,156,30,147,23,1,1,0.00641025641025641,0.00641025641025641
MED,Organic Search,/rethinking-education-assessment-types/,155,29,147,30,0,0,0,0
LEPSL,Organic Search,/masters-law-enforcement-leadership/,154,0,273,0,1,-2,0.006493506493506494,-0.012987012987012986
MSHA,Organic Search,/examples-of-social-change/,153,17,157,11,0,0,0,0
EML,Organic Search,/future-engineering-trends/,152,-21,154,-31,0,-1,0,-0.005780346820809248
Informatics,Organic Search,/health-information-technology-jobs-salary/,150,121,162,133,0,0,0,0
LEPSL,Direct,/10-innovative-police-technologies/,150,55,147,54,0,0,0,0
MED,Organic Search,/careers-masters-curriculum-instruction/,147,31,161,40,0,0,0,0
MSAAI,Direct,/masters-applied-artificial-intelligence/apply/,147,40,212,57,2,-4,0.013605442176870748,-0.04246932417826944
MED,Organic Search,/manage-cell-phones-in-class-tips/,145,-6,156,3,0,0,0,0
MSAAI,Direct,/artificial-intelligence-jobs/,144,-14,145,-20,0,-1,0,-0.006329113924050633
Informatics,Organic Search,/masters-health-informatics/,144,30,277,59,4,-2,0.027777777777777776,-0.024853801169590642
null,Direct,/education-inequity-and-homework/,138,,138,,0,,0,
MSLDT,Organic Search,/job-aid-examples-template/,138,9,130,4,0,0,0,0
MSAAI,Direct,/masters-applied-artificial-intelligence/classes/,137,24,165,10,3,2,0.021897810218978103,0.01304825269685421
CyberEng,Direct,/masters-cyber-security-engineering/,137,-99,162,-106,0,0,0,0
MESH,Organic Search,/sustainability-scholarships/,134,40,139,45,0,0,0,0
EML,Direct,/masters-engineering-management-leadership/,134,-1,181,8,0,-2,0,-0.014814814814814815
CyberOps,Display,/masters-cyber-security-operations/lp/smartbrief-display/,134,47,149,60,6,6,0.04477611940298507,0.04477611940298507
Default - (not set),Paid Social,/lp/apply-now/,131,,135,,0,,0,
MTS,Direct,/what-is-liturgy/,130,-45,154,-37,1,0,0.007692307692307693,0.0019780219780219785
MESH,Organic Search,/climate-change-careers/,129,33,136,40,0,-1,0,-0.010416666666666666
MSNNL,Paid Search,/masters-nursing-leadership/nursing-educator-track/,129,120,195,185,1,0,0.007751937984496124,-0.10335917312661498
MSNP,Organic Search,/nonprofit-jobs/,127,38,132,40,0,0,0,0
LEPSL,Organic Search,/women-in-law-enforcement/,127,33,130,33,0,0,0,0
MSHA,Organic Search,/logical-framework-approach/,127,37,124,46,0,0,0,0
Default - (not set),Organic Search,/transformational-leadership/,124,18,120,15,0,0,0,0
MTS,Direct,/serving-god/,124,-46,131,-56,0,0,0,0
MSNP,Direct,/masters-nonprofit-leadership-management/,123,31,260,67,5,2,0.04065040650406504,0.008041710851891128
MED,Organic Search,/steam-education-in-schools/,123,31,144,38,0,0,0,0
MSLDT,Organic Search,/addie-model-instructional-design/,123,15,114,3,0,-1,0,-0.009259259259259259
MSLDT,Direct,/masters-learning-design-technology/,123,45,207,62,1,1,0.008130081300813009,0.008130081300813009
MED,Organic Search,/educational-resources-for-teachers/,121,-3,117,-10,0,-1,0,-0.008064516129032258
MED,Direct,/faculty/joseph-lathan/,120,41,139,34,0,0,0,0
CyberEng,Display,/masters-cyber-security-engineering/lp/smartbrief-display/,119,26,128,24,1,-4,0.008403361344537815,-0.04536007951567724
CyberOps,Direct,/top-cyber-security-blogs-websites/,119,7,109,-1,0,0,0,0
MSHA,Paid Search,/masters-humanitarian-action/lp/humanitarian-action/,118,-495,168,-551,13,-15,0.11016949152542373,0.0644924931567451
MESH,Organic Search,/6-best-urban-planning-careers-degree-salary-guide/,118,44,122,42,0,0,0,0
MED,Organic Search,/inclusive-education-strategies/,117,10,121,-11,0,0,0,0
Data Science,Paid Search,/masters-applied-data-science/lp/study-data-science/,116,4,145,10,3,3,0.02586206896551724,0.02586206896551724
MSHA,Organic Search,/types-of-advocacy/,113,20,114,22,0,0,0,0
MED,Organic Search,/adaptive-curriculum-for-special-education/,113,-42,125,-32,0,-1,0,-0.0064516129032258064
MED,Organic Search,/teacher-cover-letter-examples/,110,44,100,41,4,4,0.03636363636363636,0.03636363636363636
MED,Organic Search,/faculty/joseph-lathan/,109,8,119,-3,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-courses-and-certifications/,108,25,110,22,1,1,0.009259259259259259,0.009259259259259259
MED,Organic Search,/summer-jobs-teachers/,108,67,105,66,0,0,0,0
LEPSL,Organic Search,/what-style-police-leadership-most-effective/,106,21,112,26,0,0,0,0
MSAAI,Organic Search,/careers-using-python/,104,-5,114,1,0,0,0,0
MED,Organic Search,/what-is-educational-technology-definition-examples-impact/,104,-65,120,-60,0,0,0,0
MSLDT,Organic Search,/career-changes-for-teachers/,103,-9,113,-13,0,0,0,0
MSAAI,Direct,/ai-blogs/,103,8,105,20,0,0,0,0
MSLDT,Direct,/instructional-design-models/,102,-55,109,-48,0,0,0,0
MED,Direct,/brain-based-learning/,102,-3,99,-8,0,0,0,0
EML,Organic Search,/principal-engineer-vs-senior-engineer/,101,33,100,29,1,1,0.009900990099009901,0.009900990099009901
CyberOps,Direct,/masters-cyber-security-operations/,100,20,131,8,1,-3,0.01,-0.04
MSAAI,Email,/masters-applied-artificial-intelligence/,100,89,148,127,1,1,0.01,0.01
LEPSL,Organic Search,/what-is-intelligence-led-policing/,100,14,96,-4,0,0,0,0
EML,Organic Search,/senior-engineer-vs-tech-lead-vs-lead-engineer/,100,-1,99,-6,0,0,0,0
MSITL,Organic Search,/information-technology-trends/,99,-76,104,-90,0,0,0,0
MED,Organic Search,/co-teaching-models/,98,26,91,28,0,0,0,0
MESH,Organic Search,/community-health-degree-jobs/,97,26,103,33,0,0,0,0
MSNP,Organic Search,/best-nonprofit-degrees/,97,-3,115,-1,0,0,0,0
MSLDT,Direct,/kirkpatrick-training-evaluation-model/,96,18,88,20,0,0,0,0
MTS,Organic Search,/ministry-careers/,95,-41,96,-41,0,0,0,0
MSHA,Unknown - ihsa / social,/masters-humanitarian-action/,94,,145,,8,,0.0851063829787234,
MSHA,Direct,/how-to-become-diplomat/,93,36,99,39,0,0,0,0
MSNNL,Display,/masters-nursing-leadership/lp/nurse-cp/,93,63,99,53,0,-1,0,-0.03333333333333333
MED,Direct,/masters-education/,93,12,171,50,1,-1,0.010752688172043012,-0.013938669852648345
LEPSL,Direct,/community-policing-through-leadership/,92,85,85,78,0,0,0,0
CyberEng,Organic Search,/cyber-security-statistics/,91,-31,87,-32,0,0,0,0
MESH,Direct,/high-paying-environmental-jobs/,89,28,96,31,0,0,0,0
Data Science,Display,/masters-applied-data-science/lp/study-data-science/,88,0,91,-1,0,-1,0,-0.011363636363636364
MED,Direct,/what-is-educational-technology-definition-examples-impact/,88,-39,83,-49,0,0,0,0
MSLDT,Organic Search,/create-employee-training-program/,86,-8,91,-5,0,-2,0,-0.02127659574468085
Data Science,Organic Search,/quantitative-analyst-career/,85,-12,85,-10,0,0,0,0
MED,Organic Search,/per-pupil-education-spending-by-state/,84,-2,84,-10,0,0,0,0
Informatics,Direct,/8-technologies-changing-healthcare/,83,-142,77,-156,0,0,0,0
MED,Referral,/teacher-centered-vs-student-centered-learning/,82,5,84,2,3,2,0.036585365853658534,0.023598352866645547
MSAAI,Display,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,82,22,90,14,1,-2,0.012195121951219513,-0.037804878048780494
EML,Direct,/future-engineering-trends/,82,18,79,12,0,0,0,0
MSLDT,Paid Social,/masters-learning-design-technology/lp/study-learning-design-technology/,81,7,86,7,1,-3,0.012345679012345678,-0.04170837504170838
