program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Organic Search,/education-inequity-and-homework/,13192,-24331,15289,-28511,0,-12,0,-0.00031980385363643635
MED,Direct,/education-inequity-and-homework/,4114,-90,4331,-548,0,0,0,0
"scnr_engine_sink_tracer_44601ad2e5edeeb69b747adc0af7af7e_ec777ec98cfa0e4b0d1cd1bb2ec37414""'`--)()\""&",Direct,"edeeb69b747adc0af7af7e_ec777ec98cfa0e4b0d1cd1bb2ec37414""'`--)()\""&%1'-;%00",1750,,1693,,0,,0,
null,Direct,emRoot%\\win.ini &rem,1640,,1578,,0,,0,
MSAAI,Organic Search,/artificial-intelligence-education/,1542,-16190,1602,-17099,1,-22,0.0006485084306095979,-0.0006485815761578282
MED,Organic Search,/life-skills-education-in-schools/,899,,1005,,0,,0,
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,816,699,917,797,63,62,0.07720588235294118,0.06865887380593264
MSAAI,Paid Social,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,763,628,890,735,48,43,0.06290956749672345,0.02587253045968642
MSAAI,Direct,/artificial-intelligence-education/,731,-3049,735,-3495,2,-7,0.0027359781121751026,0.0003550257312227214
MSAAI,Organic Search,/artificial-intelligence-business/,663,-1799,668,-1736,1,-5,0.0015082956259426848,-0.0009287474284846102
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,605,-718,775,-910,37,-35,0.06115702479338843,0.0067352560859054375
Default - (not set),Direct,/,541,540,657,656,1,1,0.0018484288354898336,0.0018484288354898336
MESH,Display,/masters-engineering-sustainability-health/,511,510,511,511,0,0,0,0
MESH,Organic Search,/high-paying-environmental-jobs/,490,,534,,2,,0.004081632653061225,
MSNP,Paid Social,/masters-nonprofit-leadership-management/lp/ppc/,488,285,552,340,42,38,0.0860655737704918,0.06636114027295485
MSLDT,Paid Social,/masters-learning-design-technology/lp/instructional-design-for-teachers/,482,,550,,30,,0.06224066390041494,
MED,Organic Search,/complete-list-teaching-methods/,481,-1788,555,-2061,6,-35,0.012474012474012475,-0.00559562172607567
CyberOps,Paid Search,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,469,-647,573,-858,33,-40,0.07036247334754797,0.004950286967619649
MSAAI,Organic Search,/ai-impact-on-job-market/,469,-2468,518,-2524,0,-2,0,-0.0006809669731018045
