program_category,default_channel,Landing_page,Session,sessions_yoy_difference,Pageview,pageview_yoy_difference,Conversions,conversions_yoy_difference,Conversion_Rate,conversion_rate_yoy_percent_difference
MED,Organic Search,/education-inequity-and-homework/,8093,-11274,9103,-15624,0,-3,0,-0.00015490266948933753
MSAAI,Organic Search,/artificial-intelligence-education/,3459,-6000,3521,-7291,6,-11,0.0017346053772766695,-0.00006262477390210196
MED,Direct,/education-inequity-and-homework/,2182,68,2294,-358,1,0,0.00045829514207149406,-0.000014741754806462423
randixploit,Direct,,1638,,1588,,0,,0,
MSAAI,Direct,/artificial-intelligence-education/,1427,-529,1481,-813,1,-4,0.000700770847932726,-0.00185546637088118
MSAAI,Organic Search,/ai-impact-on-job-market/,1376,-762,1385,-1106,0,-3,0,-0.001403180542563143
MSAAI,Organic Search,/artificial-intelligence-business/,1250,-9,1251,-214,0,-1,0,-0.0007942811755361397
MSAAI,Organic Search,/artificial-intelligence-jobs/,804,-2730,840,-3091,0,-8,0,-0.0022637238256932655
MED,Organic Search,/best-masters-degrees-for-teachers/,598,-1781,679,-2064,1,-3,0.0016722408026755853,-0.000009137927883473172
MSAAI,Direct,/ai-impact-on-job-market/,468,66,461,-30,0,0,0,0
MED,Organic Search,/best-paying-school-districts-ca-teachers/,465,,480,,0,,0,
MED,Organic Search,/life-skills-education-in-schools/,455,,483,,0,,0,
CyberOps,Organic Search,/top-cyber-security-threats/,429,-1614,424,-1819,0,-1,0,-0.0004894762604013706
MED,Organic Search,/complete-list-teaching-methods/,421,-2472,449,-3305,6,-49,0.014251781472684086,-0.004759625371422377
Default - (not set),Organic Search,/how-to-become-an-entrepreneur/,419,,408,,0,,0,
MSAAI,Direct,/artificial-intelligence-business/,419,237,418,207,0,0,0,0
MSHA,Organic Search,/how-to-become-diplomat/,407,179,446,176,0,-1,0,-0.0043859649122807015
MSHA,Paid Social,/masters-humanitarian-action/lp/humanitarian-action/,379,16,462,20,36,9,0.09498680738786279,0.02060664209860659
LEPSL,Organic Search,/10-innovative-police-technologies/,378,-1027,393,-1173,0,0,0,0
Informatics,Organic Search,/8-technologies-changing-healthcare/,362,-1090,390,-1380,0,0,0,0
MSAAI,Organic Search,/ai-blogs/,356,-341,349,-423,1,1,0.0028089887640449437,0.0028089887640449437
Default - (not set),Direct,/,341,317,423,355,1,0,0.002932551319648094,-0.03873411534701857
MSAAI,Organic Search,/application-of-ai-in-robotics/,329,-464,330,-620,0,-2,0,-0.0025220680958385876
MTS,Organic Search,/serving-god/,327,-1481,345,-1663,0,-1,0,-0.0005530973451327434
MSHA,Organic Search,/humanitarian-careers/,325,-717,351,-831,5,-3,0.015384615384615385,0.0077070721984349635
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,310,200,318,196,0,-2,0,-0.01818181818181818
MESH,Organic Search,/high-paying-environmental-jobs/,309,,345,,0,,0,
MTS,Organic Search,/what-is-liturgy/,301,155,316,133,0,0,0,0
CyberOps,Organic Search,/top-100-cybersecurity-companies/,284,-502,288,-529,0,0,0,0
MTS,Paid Search,/masters-theological-studies/lp/ppc/,278,-678,346,-898,15,-52,0.0539568345323741,-0.016126847475994105
MSAAI,Organic Search,/ai-ethicist-career/,277,-510,293,-699,0,-15,0,-0.01905972045743329
Default - (not set),Organic Search,/,276,273,410,404,0,0,0,0
MSNNL,Paid Search,/masters-nursing-leadership/lp/ppc/,273,,462,,15,,0.054945054945054944,
MED,Organic Search,/brain-based-learning/,267,-328,270,-439,1,-2,0.003745318352059925,-0.0012966984546627642
MSAAI,Paid Social,/masters-applied-artificial-intelligence/lp/study-artificial-intelligence/,257,80,333,113,22,17,0.08560311284046693,0.057354525269845455
MSHA,Organic Search,/theory-of-change/,255,,231,,0,,0,
MED,Organic Search,/cooperative-learning-strategies/,247,-362,272,-421,0,0,0,0
MTS,Paid Social,/masters-theological-studies/lp/ppc/,246,71,288,95,27,27,0.10975609756097561,0.10975609756097561
Informatics,Organic Search,/health-information-technology-jobs-salary/,235,-877,256,-1050,1,-3,0.00425531914893617,0.0006581968467778967
CyberOps,Paid Search,/masters-cyber-security-operations/lp/bva-cyber-security-operations-leadership/,227,-284,280,-309,20,20,0.0881057268722467,0.0881057268722467
MTS,Organic Search,/catholic-charism-comparison/,226,-12,242,-26,0,-1,0,-0.004201680672268907
MSAAI,Direct,/artificial-intelligence-jobs/,225,-228,228,-285,1,0,0.0044444444444444444,0.0022369389256806475
MED,Organic Search,/teacher-centered-vs-student-centered-learning/,224,-1203,251,-1591,5,-3,0.022321428571428572,0.016715261787966763
MSAAI,Organic Search,/masters-applied-artificial-intelligence/,220,-348,368,-877,7,-10,0.031818181818181815,0.0018886043533930842
MSAAI,Direct,/masters-applied-artificial-intelligence/,209,-345,307,-896,3,-25,0.014354066985645933,-0.03618744925984143
MTS,Organic Search,/theology-careers/,208,-371,228,-402,0,0,0,0
MSITL,Organic Search,/it-job-titles/,207,-535,216,-569,0,-1,0,-0.0013477088948787063
MED,Direct,/complete-list-teaching-methods/,201,-648,196,-921,0,-17,0,-0.020023557126030624
MSLDT,Organic Search,/kirkpatrick-training-evaluation-model/,200,-715,170,-786,0,0,0,0
LEPSL,Paid Social,/masters-law-enforcement-leadership/lp/law-enforcement/,199,131,205,133,8,7,0.04020100502512563,0.025495122672184452
MESH,Paid Search,/masters-engineering-sustainability-health/lp/ppc/,198,-637,241,-826,0,-35,0,-0.041916167664670656
CyberOps,Direct,/top-cyber-security-threats/,196,-199,190,-272,0,0,0,0
CyberOps,Organic Search,/top-cyber-security-blogs-websites/,194,-1132,182,-1273,0,0,0,0
MED,Organic Search,/effective-educational-leadership/,190,-839,269,-1344,2,-6,0.010526315789473684,0.0027517774026903996
Informatics,Direct,/masters-health-informatics/,188,-147,333,-370,3,-5,0.015957446808510637,-0.007923150206414736
MSAAI,Organic Search,/ai-trainer/,182,-720,183,-861,1,-3,0.005494505494505495,0.001059915694062036
MSLDT,Organic Search,/instructional-design-models/,180,-167,171,-219,1,-5,0.005555555555555556,-0.011735510726865194
Informatics,Paid Search,/masters-health-informatics/lp/study-health-informatics/,179,-178,214,-270,12,-11,0.0670391061452514,0.002613335837128153
MED,Organic Search,/careers-masters-curriculum-instruction/,179,,186,,0,,0,
MED,Organic Search,/inclusive-education-strategies/,178,-655,185,-781,0,-1,0,-0.0012004801920768306
LEPSL,Organic Search,/women-in-law-enforcement/,174,-275,184,-343,0,0,0,0
MSHA,Organic Search,/examples-of-social-change/,172,,172,,0,,0,
LEPSL,Email,/become-a-criminal-justice-instructor/,171,,189,,1,,0.005847953216374269,
MED,Referral,/education-inequity-and-homework/,171,-162,166,-256,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-finance/,167,-586,174,-641,0,0,0,0
null,Direct,,165,,154,,0,,0,
LEPSL,Organic Search,/police-communication-important-today/,164,-290,196,-351,0,0,0,0
MED,Organic Search,/manage-cell-phones-in-class-tips/,161,,189,,0,,0,
MED,Direct,/life-skills-education-in-schools/,161,,163,,0,,0,
MSAAI,Direct,/application-of-ai-in-robotics/,160,-38,157,-74,0,-1,0,-0.005050505050505051
MSLDT,Organic Search,/career-changes-for-teachers/,160,-184,169,-193,2,2,0.0125,0.0125
MTS,Organic Search,/ministry-careers/,159,-279,172,-301,1,1,0.006289308176100629,0.006289308176100629
MED,Organic Search,/what-is-educational-technology-definition-examples-impact/,158,-1085,182,-1302,1,-4,0.006329113924050633,0.002306587777630681
MSITL,Organic Search,/information-technology-trends/,157,-313,163,-416,0,-2,0,-0.00425531914893617
Default - (not set),Paid Search,/,156,149,240,210,0,0,0,0
MED,Organic Search,/teaching-to-every-students-unique-learning-style/,154,-285,154,-570,0,0,0,0
MSLDT,Direct,/kirkpatrick-training-evaluation-model/,154,62,128,30,0,0,0,0
MED,Organic Search,/educational-resources-for-teachers/,153,-442,162,-500,0,-1,0,-0.0016806722689075631
MSAAI,AI Traffic,/artificial-intelligence-education/,153,-311,163,-455,0,0,0,0
Default - (not set),Direct,/about/state-authorization-status/,153,,154,,0,,0,
Informatics,Paid Social,/masters-health-informatics/lp/study-health-informatics/,152,-17,157,-86,2,-4,0.013157894736842105,-0.022345063843039553
MSLDT,Organic Search,/what-is-instructional-design-examples/,151,-166,156,-211,3,1,0.019867549668874173,0.013558401403889947
CyberOps,Organic Search,/best-jobs-in-cyber-security/,149,-182,161,-251,0,0,0,0
MSAAI,Organic Search,/best-artificial-intelligence-degrees/,146,-302,170,-359,3,-4,0.02054794520547945,0.004922945205479451
LEPSL,Organic Search,/what-is-intelligence-led-policing/,145,-287,164,-331,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-scholarships/,145,-352,156,-419,0,-6,0,-0.012072434607645875
MSNP,Paid Search,/masters-nonprofit-leadership-management/lp/ppc/,145,-467,187,-625,3,-40,0.020689655172413793,-0.04957178273608294
MESH,Organic Search,/climate-change-careers/,144,-134,142,-165,0,-2,0,-0.007194244604316547
LEPSL,Direct,/10-innovative-police-technologies/,144,-104,135,-147,0,0,0,0
