program_category,Channel,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Social,66,-4,76,-6,3,3,0.045454545454545456,
EML,Referral,66,19,87,7,6,4,0.09090909090909091,1.1363636363636365
Default - (not set),Unknown - tradedesk / dooh,61,,61,,0,,0,
MSLDT,AI Traffic,56,-32,48,-45,0,-2,0,-1
"Default - business-entrepreneurship,computer-science,technology",Direct,54,43,36,18,0,0,0,
CyberEng,Paid Social,54,-4,57,-4,2,-1,0.037037037037037035,-0.28395061728395066
Informatics,Email,49,17,70,28,0,0,0,
LEPSL,Organic Social,46,28,46,28,0,0,0,
MSNP,Referral,46,10,113,54,2,-2,0.043478260869565216,-0.6086956521739131
CyberOps,Referral,44,-68,45,-74,0,0,0,
MED,Paid Social,43,-213,43,-232,0,-5,0,-1
MSHA,AI Traffic,40,10,51,15,1,1,0.025,
Default - (not set),AI Traffic,40,-19,53,-31,0,-1,0,-1
MSAAI,Organic Social,39,-28,46,-28,0,0,0,
MSLDT,Paid Social,39,-43,41,-55,1,-7,0.02564102564102564,-0.7371794871794872
MTS,Email,39,-148,39,-201,0,-10,0,-1
MSNNL,Email,38,19,51,18,3,2,0.07894736842105263,0.5
EML,Paid Social,37,-428,43,-452,1,-21,0.02702702702702703,-0.4287469287469287
Data Science,AI Traffic,34,3,30,-4,0,0,0,
MESH,Email,32,7,46,9,0,0,0,
MED,Email,32,-39,37,-65,0,-3,0,-1
Informatics,AI Traffic,31,-3,38,-6,0,0,0,
MSITL,AI Traffic,31,13,37,16,1,1,0.03225806451612903,
LEPSL,AI Traffic,31,3,43,10,0,0,0,
MSNNL,Paid Social,30,6,36,-6,4,3,0.13333333333333333,2.2
MSNP,Email,29,12,49,15,1,-1,0.034482758620689655,-0.7068965517241379
"Default - business-entrepreneurship,computer-science,technology",Organic Search,28,4,27,4,0,0,0,
LEPSL,Unknown - policeone / directory,26,13,36,16,3,2,0.11538461538461539,0.5
MTS,Organic Social,26,3,28,5,0,0,0,
CyberOps,Email,26,9,32,14,0,0,0,
About,Direct,26,,32,,0,,0,
Data Science,Email,26,19,31,22,0,0,0,
CyberEng,AI Traffic,26,-14,24,-20,0,0,0,
MSNP,AI Traffic,25,-12,55,13,3,2,0.12,3.4399999999999995
MSAAI,Email,25,-20,45,-13,0,-1,0,-1
CyberEng,Referral,23,-13,34,-5,0,0,0,
"Default - computer-science,engineering,technology",Organic Search,22,-20,60,-8,1,0,0.045454545454545456,0.9090909090909093
MSLDT,Display,21,-53,27,-83,4,-13,0.19047619047619047,-0.17086834733893566
MTS,AI Traffic,21,1,24,1,0,0,0,
CyberOps,Organic Social,20,-1,21,-2,0,0,0,
EML,AI Traffic,20,-2,17,-5,0,0,0,
MSLDT,Email,20,-6,54,8,3,-2,0.15,-0.22000000000000008
MESH,AI Traffic,19,-4,20,-18,0,0,0,
LEPSL,Display,19,2,18,1,0,0,0,
MSHA,Email,19,-2,31,8,0,0,0,
MSNNL,Display,18,-555,42,-1099,6,-1,0.3333333333333333,26.285714285714285
Informatics,Referral,17,-33,18,-58,0,-1,0,-1
MSNNL,Referral,15,1,41,-5,1,-1,0.06666666666666667,-0.5333333333333333
Informatics,Unknown - Data Not Available / Data Not Available,15,-9,18,-32,2,0,0.13333333333333333,0.6000000000000001
MSHA,Organic Social,12,-11,12,-12,0,0,0,
"Default - business-entrepreneurship,computer-science,technology",AI Traffic,12,1,11,-1,0,0,0,
MSNP,Organic Social,12,6,17,3,1,1,0.08333333333333333,
"Default - computer-science,engineering,technology",Direct,11,-12,17,-15,0,0,0,
MSITL,Organic Social,11,-8,15,-1,0,0,0,
EML,Email,10,-8,10,-16,0,0,0,
MTS,Unknown - Data Not Available / Data Not Available,10,-6,14,-14,0,-1,0,-1
MESH,Unknown - Data Not Available / Data Not Available,9,-5,14,-9,0,0,0,
Default - (not set),Unknown - tradedesk / ctv,8,,8,,0,,0,
Default - (not set),Organic Social,7,-10,7,-16,0,0,0,
LEPSL,Unknown - event / poker-chip,7,5,22,16,0,0,0,
MESH,Affiliate,7,-1,12,2,0,-1,0,-1
MSLDT,Organic Social,6,-21,8,-28,0,-2,0,-1
CyberEng,Organic Social,6,,7,,0,,0,
Default - (not set),Unknown - Data Not Available / Data Not Available,6,-2,10,-12,0,0,0,
MSITL,Email,6,-1,9,-1,0,-1,0,-1
"Default - business-entrepreneurship,computer-science,engineering,technology",Direct,5,-1,27,10,5,4,1,5.000000000000001
MSNNL,AI Traffic,5,0,5,-2,0,0,0,
MESH,Organic Social,5,-7,5,-8,0,0,0,
Default - computer-science,Direct,4,2,4,2,0,0,0,
CyberEng,Display,4,2,4,1,0,0,0,
Default - (not set),Paid Social,4,-73,3,-77,0,0,0,
Informatics,Organic Social,4,-5,5,-9,0,0,0,
MSNNL,Organic Social,4,-2,10,2,0,0,0,
EML,Unknown - Data Not Available / Data Not Available,4,-10,5,-13,0,-1,0,-1
Default - computer-science,Paid Search,3,-1,9,2,3,-1,1,0
MESH,Unknown - smartbrief / impression,3,,2,,0,,0,
"Default - engineering,healthcare,sustainability",Paid Search,3,,5,,1,,0.3333333333333333,
MTS,Unknown - copilot.com / (not set),3,,4,,0,,0,
MSAAI,Unknown - Data Not Available / Data Not Available,3,-3,3,-7,0,0,0,
Default - technology,Direct,3,,3,,0,,0,
EML,Display,3,-264,3,-287,0,-11,0,-1
Default - (not set),Display,3,-4,4,-7,0,0,0,
"Default - engineering,healthcare,sustainability",Direct,3,-2,3,-4,0,-1,0,-1
"Default - computer-science,engineering,technology",Email,3,,4,,0,,0,
Default - computer-science,Organic Search,3,0,3,0,0,0,0,
MSITL,Unknown - Data Not Available / Data Not Available,3,2,31,29,1,1,0.3333333333333333,
Default - sustainability,Direct,2,,9,,0,,0,
CyberEng,Unknown - Data Not Available / Data Not Available,2,-3,3,-6,0,0,0,
"Default - humanitarian-nonprofit,leadership-management",Direct,2,,4,,1,,0.5,
MSNNL,Unknown - Data Not Available / Data Not Available,2,-5,5,-15,0,-1,0,-1
CyberOps,Unknown - Data Not Available / Data Not Available,2,-11,4,-16,0,-1,0,-1
Data Science,Organic Social,2,-3,2,-3,0,0,0,
Informatics,Unknown - {{site_source_name}} / {{placement}},2,0,2,0,0,0,0,
MED,Unknown - Data Not Available / Data Not Available,2,-4,9,0,0,0,0,
"Default - business-entrepreneurship,computer-science,technology",Referral,2,1,3,2,0,0,0,
MTS,Display,2,-6,2,-13,0,0,0,
MESH,Display,2,-25,2,-27,0,-1,0,-1
LEPSL,Unknown - Data Not Available / Data Not Available,1,0,1,-1,0,0,0,
Default - (not set),Unknown - traditional-media / dooh,1,,1,,0,,0,
MSITL,Unknown - copilot.com / (not set),1,,1,,0,,0,
"Default - business-entrepreneurship,computer-science,engineering,technology",Paid Search,1,,7,,1,,1,
CyberEng,Unknown - ig / social,1,,1,,0,,0,
MSHA,Unknown - Data Not Available / Data Not Available,1,-1,2,0,0,0,0,
Informatics,Display,1,0,1,0,0,0,0,
MSNP,Unknown - copilot.com / (not set),1,,1,,0,,0,
MTS,Unknown - tradedesk / ctv,1,-4,1,-4,0,0,0,
MSAAI,Unknown - Keystone / ReadMoreSchoolWebsiteCTA,1,,3,,0,,0,
Default - (not set),Unknown - policeone / directory,1,,1,,0,,0,
"Default - engineering,sustainability",Direct,1,0,1,0,0,0,0,
LEPSL,Unknown - aocds-courier / offline,1,,3,,1,,1,
MED,Unknown - copilot.com / (not set),1,,1,,0,,0,
Data Science,Unknown - Facebook / cpc,1,,1,,0,,0,
MSNP,Unknown - Data Not Available / Data Not Available,1,-9,2,-14,0,0,0,
"Default - business-entrepreneurship,computer-science,technology",Email,1,,1,,0,,0,
Default - (not set),Unknown - event / poker-chip,1,,0,,0,,0,
EML,Unknown - copilot.com / (not set),1,,1,,0,,0,
Data Science,Unknown - blog / inlinecta,1,-1,1,-1,0,0,0,
MSAAI,Unknown - msaai flyer / brochure,1,-2,1,-3,0,0,0,
Data Science,Unknown - Data Not Available / Data Not Available,1,0,1,0,0,0,0,
MSAAI,Unknown - copilot.com / (not set),1,,1,,0,,0,
MSITL,Unknown - mp-cricket / (not set),1,,1,,0,,0,
MSAAI,Unknown - efafeeby / efafeeby,1,,1,,0,,0,
"Default - computer-science,engineering,technology",Referral,1,-1,1,0,0,0,0,
