program_category,default_channel,Landing_page,Session,sessions_mom_difference,Pageview,pageview_mom_difference,Conversions,conversions_mom_difference,Conversion_Rate,conversion_rate_mom_percent_difference
MED,Organic Search,/education-inequity-and-homework/,8093,-959,9103,-1167,0,0,0,0
MSAAI,Organic Search,/artificial-intelligence-education/,3459,-1347,3521,-1310,6,3,0.0017346053772766695,0.0011103856519333486
MED,Direct,/education-inequity-and-homework/,2182,-627,2294,-626,1,1,0.00045829514207149406,0.00045829514207149406
randixploit,Direct,,1638,,1588,,0,,0,
MSAAI,Direct,/artificial-intelligence-education/,1427,-547,1481,-489,1,0,0.000700770847932726,0.00019418523496413423
MSAAI,Organic Search,/ai-impact-on-job-market/,1376,-753,1385,-751,0,-2,0,-0.0009394081728511038
MSAAI,Organic Search,/artificial-intelligence-business/,1250,-166,1251,-127,0,-1,0,-0.0007062146892655367
MSAAI,Organic Search,/artificial-intelligence-jobs/,804,-206,840,-221,0,-3,0,-0.0029702970297029703
MED,Organic Search,/best-masters-degrees-for-teachers/,598,94,679,118,1,1,0.0016722408026755853,0.0016722408026755853
MSAAI,Direct,/ai-impact-on-job-market/,468,-336,461,-361,0,0,0,0
MED,Organic Search,/best-paying-school-districts-ca-teachers/,465,147,480,140,0,0,0,0
MED,Organic Search,/life-skills-education-in-schools/,455,-181,483,-192,0,0,0,0
CyberOps,Organic Search,/top-cyber-security-threats/,429,-210,424,-229,0,0,0,0
MED,Organic Search,/complete-list-teaching-methods/,421,-186,449,-174,6,-1,0.014251781472684086,0.0027196562667532783
Default - (not set),Organic Search,/how-to-become-an-entrepreneur/,419,9,408,-21,0,0,0,0
MSAAI,Direct,/artificial-intelligence-business/,419,-316,418,-309,0,0,0,0
MSHA,Organic Search,/how-to-become-diplomat/,407,50,446,55,0,-1,0,-0.0028011204481792717
MSHA,Paid Social,/masters-humanitarian-action/lp/humanitarian-action/,379,-47,462,-40,36,-3,0.09498680738786279,0.0034375116132148997
LEPSL,Organic Search,/10-innovative-police-technologies/,378,-86,393,-94,0,0,0,0
Informatics,Organic Search,/8-technologies-changing-healthcare/,362,-251,390,-219,0,0,0,0
MSAAI,Organic Search,/ai-blogs/,356,-50,349,-47,1,0,0.0028089887640449437,0.0003459345768528255
Default - (not set),Direct,/,341,-167,423,-234,1,0,0.002932551319648094,0.0009640473826402199
MSAAI,Organic Search,/application-of-ai-in-robotics/,329,-81,330,-105,0,-2,0,-0.004878048780487805
MTS,Organic Search,/serving-god/,327,-109,345,-117,0,0,0,0
MSHA,Organic Search,/humanitarian-careers/,325,-60,351,-56,5,4,0.015384615384615385,0.012787212787212787
MESH,Paid Social,/masters-engineering-sustainability-health/lp/ppc/,310,195,318,203,0,0,0,0
MESH,Organic Search,/high-paying-environmental-jobs/,309,9,345,16,0,-2,0,-0.006666666666666667
MTS,Organic Search,/what-is-liturgy/,301,-134,316,-121,0,0,0,0
CyberOps,Organic Search,/top-100-cybersecurity-companies/,284,-39,288,-29,0,0,0,0
MTS,Paid Search,/masters-theological-studies/lp/ppc/,278,-173,346,-268,15,-31,0.0539568345323741,-0.04803873087782545
MSAAI,Organic Search,/ai-ethicist-career/,277,-4,293,-47,0,-5,0,-0.017793594306049824
Default - (not set),Organic Search,/,276,45,410,62,0,0,0,0
